"The 2009 PSSA Mathematics and Reading District Level Proficiency Results",,,,,,,,,,,,,,,
"(Full Academic Year; No PASA Scores) Groups with less than 10 students assessed were removed from the file. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"AUN","County","IU Number","District","Grade","Group","Number Scored Math","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","Number Scored Reading","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"IEP",11,0.0,45.5,0.0,54.5,11,0.0,18.2,27.3,54.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Economically Disadvantaged",48,25.0,27.1,27.1,20.8,48,2.1,39.6,31.3,27.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Male",91,49.5,25.3,14.3,11.0,91,17.6,46.2,18.7,17.6
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Female",78,43.6,23.1,19.2,14.1,78,11.5,46.2,24.4,17.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"White",145,51.0,24.1,15.9,9.0,145,15.9,50.3,19.3,14.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Hispanic",20,20.0,25.0,25.0,30.0,20,5.0,15.0,40.0,40.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"All Students",170,44.1,32.4,10.6,12.9,170,31.8,31.8,19.4,17.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"IEP",18,16.7,22.2,11.1,50.0,18,5.6,16.7,5.6,72.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Economically Disadvantaged",36,27.8,30.6,16.7,25.0,36,13.9,36.1,11.1,38.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Male",90,50.0,30.0,8.9,11.1,90,33.3,32.2,18.9,15.6
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Female",80,37.5,35.0,12.5,15.0,80,30.0,31.3,20.0,18.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"White",154,46.1,31.8,10.4,11.7,154,33.8,30.5,20.1,15.6
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Hispanic",15,26.7,33.3,13.3,26.7,15,13.3,40.0,13.3,33.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"All Students",149,45.0,32.9,12.8,9.4,149,36.2,41.6,17.4,4.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Economically Disadvantaged",33,42.4,36.4,12.1,9.1,33,30.3,36.4,30.3,3.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Male",80,51.3,31.3,10.0,7.5,80,37.5,41.3,13.8,7.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Female",69,37.7,34.8,15.9,11.6,69,34.8,42.0,21.7,1.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"White",137,44.5,32.8,12.4,10.2,137,38.0,41.6,15.3,5.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Hispanic",11,45.5,36.4,18.2,0.0,11,9.1,45.5,45.5,0.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"All Students",155,46.5,26.5,14.8,12.3,155,52.3,27.7,10.3,9.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"IEP",15,20.0,13.3,20.0,46.7,15,13.3,26.7,6.7,53.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Economically Disadvantaged",27,25.9,18.5,37.0,18.5,27,37.0,37.0,11.1,14.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Male",84,45.2,29.8,15.5,9.5,84,48.8,28.6,11.9,10.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Female",71,47.9,22.5,14.1,15.5,71,56.3,26.8,8.5,8.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"White",143,47.6,26.6,14.0,11.9,143,55.2,25.9,9.8,9.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"All Students",156,30.8,21.8,25.6,21.8,156,36.5,28.2,19.9,15.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"IEP",13,0.0,7.7,23.1,69.2,13,7.7,15.4,7.7,69.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Economically Disadvantaged",19,5.3,21.1,26.3,47.4,19,10.5,47.4,10.5,31.6
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Male",83,32.5,24.1,24.1,19.3,83,32.5,30.1,20.5,16.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Female",73,28.8,19.2,27.4,24.7,73,41.1,26.0,19.2,13.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"White",138,31.9,23.2,25.4,19.6,138,37.7,29.7,19.6,13.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Hispanic",10,0.0,20.0,20.0,60.0,10,10.0,20.0,20.0,50.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"All Students",274,33.2,43.8,16.8,6.2,274,20.1,47.1,12.8,20.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"IEP",38,13.2,31.6,28.9,26.3,38,7.9,13.2,10.5,68.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"Economically Disadvantaged",82,8.5,48.8,28.0,14.6,82,7.3,40.2,12.2,40.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"Male",141,31.2,44.0,19.1,5.7,141,13.5,46.8,16.3,23.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"Female",133,35.3,43.6,14.3,6.8,133,27.1,47.4,9.0,16.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"White",235,35.3,43.8,15.3,5.5,235,21.7,47.2,14.0,17.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"Hispanic",29,13.8,44.8,27.6,13.8,29,3.4,51.7,3.4,41.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"All Students",279,57.7,26.9,9.7,5.7,280,31.1,38.2,18.6,12.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"IEP",28,17.9,39.3,21.4,21.4,28,7.1,21.4,32.1,39.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Economically Disadvantaged",82,47.6,31.7,14.6,6.1,82,15.9,39.0,23.2,22.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Male",136,58.1,29.4,11.0,1.5,136,27.9,39.0,21.3,11.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Female",143,57.3,24.5,8.4,9.8,144,34.0,37.5,16.0,12.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"White",229,59.8,26.6,7.9,5.7,230,34.8,38.7,18.7,7.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Hispanic",43,48.8,25.6,18.6,7.0,43,16.3,32.6,18.6,32.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"All Students",280,45.0,32.5,17.1,5.4,279,17.6,45.2,22.6,14.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"IEP",33,30.3,27.3,27.3,15.2,33,3.0,24.2,18.2,54.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Economically Disadvantaged",85,29.4,35.3,27.1,8.2,85,7.1,37.6,32.9,22.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Male",145,50.3,31.0,14.5,4.1,144,15.3,46.5,20.8,17.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Female",135,39.3,34.1,20.0,6.7,135,20.0,43.7,24.4,11.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"White",233,48.1,32.6,16.7,2.6,233,18.9,46.8,21.0,13.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Black",11,54.5,18.2,9.1,18.2,11,18.2,45.5,36.4,0.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Hispanic",34,23.5,32.4,23.5,20.6,33,9.1,30.3,30.3,30.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"All Students",302,53.3,33.8,7.9,5.0,302,32.1,36.8,21.9,9.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"IEP",45,24.4,35.6,15.6,24.4,45,13.3,20.0,33.3,33.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"Economically Disadvantaged",85,41.2,41.2,8.2,9.4,85,24.7,35.3,25.9,14.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"Male",144,49.3,37.5,6.9,6.3,144,22.9,40.3,26.4,10.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"Female",158,57.0,30.4,8.9,3.8,158,40.5,33.5,17.7,8.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"White",271,53.9,32.8,8.5,4.8,271,32.1,37.3,21.8,8.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"Hispanic",26,46.2,42.3,3.8,7.7,26,26.9,30.8,26.9,15.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"All Students",261,56.7,27.2,9.2,6.9,261,39.5,30.7,14.9,14.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"IEP",29,13.8,27.6,24.1,34.5,29,6.9,10.3,17.2,65.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"ELL",11,9.1,18.2,45.5,27.3,11,0.0,9.1,27.3,63.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"Economically Disadvantaged",67,47.8,26.9,13.4,11.9,67,32.8,29.9,16.4,20.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"Male",120,55.0,29.2,6.7,9.2,120,39.2,25.0,18.3,17.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"Female",141,58.2,25.5,11.3,5.0,141,39.7,35.5,12.1,12.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"White",233,59.7,27.0,7.3,6.0,233,41.6,30.9,14.6,12.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"Hispanic",23,26.1,30.4,30.4,13.0,23,17.4,26.1,21.7,34.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"All Students",309,61.2,19.1,10.0,9.7,309,61.8,19.7,8.1,10.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"IEP",41,7.3,17.1,12.2,63.4,41,12.2,19.5,12.2,56.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Economically Disadvantaged",77,46.8,22.1,11.7,19.5,77,41.6,23.4,14.3,20.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Male",140,61.4,17.1,12.9,8.6,140,54.3,24.3,10.7,10.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Female",169,60.9,20.7,7.7,10.7,169,68.0,16.0,5.9,10.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"White",274,62.4,18.2,9.5,9.9,274,63.9,19.3,7.7,9.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Hispanic",24,58.3,33.3,8.3,0.0,24,50.0,16.7,16.7,16.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"All Students",309,21.4,31.4,19.7,27.5,309,24.6,35.6,17.5,22.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"IEP",42,2.4,4.8,9.5,83.3,41,0.0,12.2,9.8,78.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Economically Disadvantaged",56,7.1,30.4,23.2,39.3,57,15.8,35.1,24.6,24.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Male",162,22.2,32.1,20.4,25.3,162,20.4,32.1,21.0,26.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Female",147,20.4,30.6,19.0,29.9,147,29.3,39.5,13.6,17.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"White",269,21.2,33.1,19.7,26.0,270,25.2,35.2,17.4,22.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Hispanic",32,15.6,21.9,18.8,43.8,31,16.1,38.7,19.4,25.8
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"All Students",89,44.9,36.0,12.4,6.7,89,24.7,57.3,5.6,12.4
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"IEP",10,20.0,50.0,0.0,30.0,10,30.0,30.0,10.0,30.0
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"Economically Disadvantaged",17,29.4,35.3,11.8,23.5,17,11.8,52.9,5.9,29.4
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"Male",44,38.6,38.6,15.9,6.8,44,27.3,50.0,9.1,13.6
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"Female",45,51.1,33.3,8.9,6.7,45,22.2,64.4,2.2,11.1
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"White",86,46.5,33.7,12.8,7.0,86,25.6,55.8,5.8,12.8
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"All Students",81,39.5,27.2,17.3,16.0,81,32.1,39.5,9.9,18.5
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Economically Disadvantaged",15,6.7,33.3,26.7,33.3,15,13.3,33.3,6.7,46.7
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Male",44,40.9,25.0,18.2,15.9,44,34.1,36.4,9.1,20.5
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Female",37,37.8,29.7,16.2,16.2,37,29.7,43.2,10.8,16.2
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"White",77,40.3,26.0,18.2,15.6,77,33.8,37.7,10.4,18.2
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"All Students",97,49.5,19.6,16.5,14.4,97,20.6,33.0,23.7,22.7
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"IEP",11,36.4,0.0,9.1,54.5,11,36.4,0.0,0.0,63.6
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Economically Disadvantaged",17,41.2,5.9,23.5,29.4,17,5.9,29.4,11.8,52.9
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Male",48,47.9,25.0,16.7,10.4,48,22.9,25.0,27.1,25.0
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Female",49,51.0,14.3,16.3,18.4,49,18.4,40.8,20.4,20.4
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"White",97,49.5,19.6,16.5,14.4,97,20.6,33.0,23.7,22.7
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"All Students",99,38.4,35.4,16.2,10.1,99,36.4,30.3,23.2,10.1
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"Economically Disadvantaged",29,24.1,34.5,24.1,17.2,29,24.1,34.5,24.1,17.2
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"Male",50,36.0,38.0,14.0,12.0,50,32.0,28.0,22.0,18.0
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"Female",49,40.8,32.7,18.4,8.2,49,40.8,32.7,24.5,2.0
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"White",95,38.9,34.7,16.8,9.5,95,36.8,29.5,23.2,10.5
112013054,"Adams",12,"FAIRFIELD AREA SD",7,"All Students",108,47.2,21.3,21.3,10.2,108,39.8,29.6,18.5,12.0
112013054,"Adams",12,"FAIRFIELD AREA SD",7,"IEP",11,18.2,18.2,27.3,36.4,11,18.2,0.0,36.4,45.5
112013054,"Adams",12,"FAIRFIELD AREA SD",7,"Economically Disadvantaged",15,40.0,33.3,20.0,6.7,15,26.7,33.3,20.0,20.0
112013054,"Adams",12,"FAIRFIELD AREA SD",7,"Male",59,42.4,16.9,23.7,16.9,59,25.4,30.5,23.7,20.3
112013054,"Adams",12,"FAIRFIELD AREA SD",7,"Female",49,53.1,26.5,18.4,2.0,49,57.1,28.6,12.2,2.0
112013054,"Adams",12,"FAIRFIELD AREA SD",7,"White",106,47.2,21.7,20.8,10.4,106,39.6,30.2,17.9,12.3
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"All Students",100,46.0,30.0,13.0,11.0,100,51.0,29.0,13.0,7.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"IEP",10,20.0,0.0,30.0,50.0,10,30.0,20.0,10.0,40.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Economically Disadvantaged",17,23.5,35.3,11.8,29.4,17,35.3,23.5,23.5,17.6
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Male",43,48.8,30.2,7.0,14.0,43,46.5,30.2,16.3,7.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Female",57,43.9,29.8,17.5,8.8,57,54.4,28.1,10.5,7.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"White",97,46.4,29.9,12.4,11.3,97,50.5,28.9,13.4,7.2
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"All Students",93,25.8,33.3,17.2,23.7,93,31.2,37.6,12.9,18.3
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"IEP",12,16.7,8.3,8.3,66.7,12,25.0,8.3,0.0,66.7
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Economically Disadvantaged",11,9.1,45.5,9.1,36.4,11,27.3,27.3,18.2,27.3
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Male",43,30.2,39.5,9.3,20.9,43,27.9,41.9,11.6,18.6
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Female",50,22.0,28.0,24.0,26.0,50,34.0,34.0,14.0,18.0
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"White",90,26.7,34.4,16.7,22.2,90,31.1,38.9,12.2,17.8
112013753,"Adams",12,"GETTYSBURG AREA SD",3,"All Students",248,32.7,50.4,14.5,2.4,248,27.0,48.8,12.5,11.7
112013753,"Adams",12,"GETTYSBURG AREA SD",3,"IEP",27,18.5,48.1,22.2,11.1,27,11.1,25.9,14.8,48.1
112013753,"Adams",12,"GETTYSBURG AREA SD",3,"ELL",16,6.3,50.0,31.3,12.5,16,0.0,31.3,37.5,31.3
112013753,"Adams",12,"GETTYSBURG AREA SD",3,"Economically Disadvantaged",88,18.2,52.3,25.0,4.5,88,15.9,47.7,20.5,15.9
112013753,"Adams",12,"GETTYSBURG AREA SD",3,"Male",122,35.2,49.2,13.9,1.6,122,22.1,53.3,13.1,11.5
112013753,"Adams",12,"GETTYSBURG AREA SD",3,"Female",126,30.2,51.6,15.1,3.2,126,31.7,44.4,11.9,11.9
112013753,"Adams",12,"GETTYSBURG AREA SD",3,"White",207,34.3,50.2,13.5,1.9,207,30.0,50.2,9.2,10.6
112013753,"Adams",12,"GETTYSBURG AREA SD",3,"Black",15,20.0,60.0,20.0,0.0,15,20.0,40.0,33.3,6.7
112013753,"Adams",12,"GETTYSBURG AREA SD",3,"Hispanic",21,19.0,47.6,23.8,9.5,21,0.0,38.1,33.3,28.6
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"All Students",201,65.2,27.4,5.0,2.5,201,45.3,35.8,9.0,10.0
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"IEP",26,23.1,34.6,23.1,19.2,25,20.0,12.0,20.0,48.0
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Economically Disadvantaged",69,43.5,40.6,11.6,4.3,69,26.1,40.6,10.1,23.2
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Male",101,68.3,23.8,5.9,2.0,100,39.0,43.0,7.0,11.0
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Female",100,62.0,31.0,4.0,3.0,101,51.5,28.7,10.9,8.9
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"White",167,71.3,24.6,1.8,2.4,168,50.6,35.1,7.1,7.1
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Black",10,40.0,40.0,10.0,10.0,10,10.0,50.0,30.0,10.0
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Hispanic",20,30.0,45.0,25.0,0.0,19,21.1,36.8,15.8,26.3
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"All Students",227,45.8,36.6,14.5,3.1,226,22.1,45.6,22.1,10.2
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"IEP",28,10.7,32.1,39.3,17.9,27,3.7,22.2,37.0,37.0
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Economically Disadvantaged",90,33.3,41.1,21.1,4.4,90,10.0,40.0,34.4,15.6
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Male",110,46.4,40.0,11.8,1.8,110,20.9,49.1,20.9,9.1
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Female",117,45.3,33.3,17.1,4.3,116,23.3,42.2,23.3,11.2
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"White",181,50.8,33.1,13.3,2.8,180,26.1,48.9,17.8,7.2
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Black",17,17.6,47.1,35.3,0.0,17,0.0,35.3,41.2,23.5
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Hispanic",27,29.6,51.9,11.1,7.4,27,11.1,25.9,40.7,22.2
112013753,"Adams",12,"GETTYSBURG AREA SD",6,"All Students",208,65.9,24.0,4.3,5.8,207,51.7,27.1,14.0,7.2
112013753,"Adams",12,"GETTYSBURG AREA SD",6,"IEP",22,13.6,31.8,18.2,36.4,22,13.6,9.1,36.4,40.9
112013753,"Adams",12,"GETTYSBURG AREA SD",6,"Economically Disadvantaged",66,50.0,30.3,9.1,10.6,65,36.9,29.2,21.5,12.3
112013753,"Adams",12,"GETTYSBURG AREA SD",6,"Male",104,62.5,27.9,2.9,6.7,104,46.2,30.8,12.5,10.6
112013753,"Adams",12,"GETTYSBURG AREA SD",6,"Female",104,69.2,20.2,5.8,4.8,103,57.3,23.3,15.5,3.9
112013753,"Adams",12,"GETTYSBURG AREA SD",6,"White",173,69.4,22.0,2.9,5.8,172,58.1,23.8,11.0,7.0
112013753,"Adams",12,"GETTYSBURG AREA SD",6,"Black",18,33.3,38.9,16.7,11.1,18,22.2,33.3,27.8,16.7
112013753,"Adams",12,"GETTYSBURG AREA SD",6,"Hispanic",15,60.0,33.3,6.7,0.0,15,6.7,60.0,33.3,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",7,"All Students",217,48.4,34.1,11.5,6.0,215,44.2,30.7,15.3,9.8
112013753,"Adams",12,"GETTYSBURG AREA SD",7,"IEP",27,3.7,37.0,29.6,29.6,27,3.7,11.1,40.7,44.4
112013753,"Adams",12,"GETTYSBURG AREA SD",7,"Economically Disadvantaged",65,35.4,35.4,20.0,9.2,64,23.4,37.5,29.7,9.4
112013753,"Adams",12,"GETTYSBURG AREA SD",7,"Male",113,49.6,29.2,14.2,7.1,111,41.4,26.1,18.9,13.5
112013753,"Adams",12,"GETTYSBURG AREA SD",7,"Female",104,47.1,39.4,8.7,4.8,104,47.1,35.6,11.5,5.8
112013753,"Adams",12,"GETTYSBURG AREA SD",7,"White",182,52.7,32.4,11.0,3.8,181,48.6,29.8,12.2,9.4
112013753,"Adams",12,"GETTYSBURG AREA SD",7,"Black",10,30.0,60.0,0.0,10.0,10,40.0,30.0,30.0,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",7,"Hispanic",24,20.8,37.5,20.8,20.8,23,8.7,39.1,34.8,17.4
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"All Students",227,55.1,24.7,11.5,8.8,227,65.2,21.6,6.6,6.6
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"IEP",22,0.0,27.3,22.7,50.0,22,4.5,22.7,27.3,45.5
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Economically Disadvantaged",80,36.3,32.5,15.0,16.3,80,52.5,25.0,13.8,8.8
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Male",106,50.9,28.3,10.4,10.4,106,57.5,26.4,9.4,6.6
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Female",121,58.7,21.5,12.4,7.4,121,71.9,17.4,4.1,6.6
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"White",186,58.6,23.7,10.2,7.5,186,67.2,21.0,5.4,6.5
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Black",17,23.5,35.3,23.5,17.6,17,35.3,41.2,5.9,17.6
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Hispanic",19,42.1,26.3,15.8,15.8,19,68.4,15.8,15.8,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"All Students",249,28.1,35.3,14.1,22.5,249,33.3,31.7,15.3,19.7
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"IEP",33,0.0,18.2,15.2,66.7,33,0.0,18.2,27.3,54.5
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Economically Disadvantaged",58,13.8,19.0,27.6,39.7,58,12.1,24.1,29.3,34.5
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Male",131,30.5,31.3,16.0,22.1,131,32.1,25.2,19.1,23.7
