"The 2011 PSSA Writing District Level Proficiency Results*",,,,,,,,,
"*Full Academic Year Students; No PASA/PSSA-M Scores. Data for groups with 10 or fewer students were replaced by blanks. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,
,,,,,,,,,
"AUN","County","District","Grade","Group","Number Scored Writing","% Advanced Writing","% Proficient Writing","% Basic Writing","% Below Basic Writing"
112011103,"Adams","BERMUDIAN SPRINGS SD",11,"ELL",2,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",11,"Economically Disadvantaged",25,4.0,60.0,32.0,4.0
112011603,"Adams","CONEWAGO VALLEY SD",5,"All Students",301,0.3,63.5,34.2,2.0
112011603,"Adams","CONEWAGO VALLEY SD",5,"Male",151,0.0,49.0,48.3,2.6
112011603,"Adams","CONEWAGO VALLEY SD",5,"Female",150,0.7,78.0,20.0,1.3
112011603,"Adams","CONEWAGO VALLEY SD",5,"White",256,0.4,65.6,31.6,2.3
112011603,"Adams","CONEWAGO VALLEY SD",5,"Black",9,,,,
112011603,"Adams","CONEWAGO VALLEY SD",5,"Hispanic",33,0.0,45.5,54.5,0.0
112011603,"Adams","CONEWAGO VALLEY SD",5,"Asian",3,,,,
112011603,"Adams","CONEWAGO VALLEY SD",5,"Native American",0,,,,
112011603,"Adams","CONEWAGO VALLEY SD",5,"Multi-Ethnic",0,,,,
112011603,"Adams","CONEWAGO VALLEY SD",5,"IEP",38,0.0,15.8,71.1,13.2
112011603,"Adams","CONEWAGO VALLEY SD",5,"ELL",5,,,,
112011603,"Adams","CONEWAGO VALLEY SD",5,"Economically Disadvantaged",119,0.0,57.1,40.3,2.5
112011603,"Adams","CONEWAGO VALLEY SD",8,"All Students",298,2.3,59.4,36.9,1.3
112011603,"Adams","CONEWAGO VALLEY SD",8,"Male",146,0.0,54.1,43.8,2.1
112011603,"Adams","CONEWAGO VALLEY SD",8,"Female",152,4.6,64.5,30.3,0.7
112011603,"Adams","CONEWAGO VALLEY SD",8,"White",263,2.3,59.7,37.3,0.8
112011603,"Adams","CONEWAGO VALLEY SD",8,"Black",4,,,,
112011603,"Adams","CONEWAGO VALLEY SD",8,"Hispanic",29,0.0,62.1,37.9,0.0
112011603,"Adams","CONEWAGO VALLEY SD",8,"Asian",2,,,,
112011603,"Adams","CONEWAGO VALLEY SD",8,"Native American",0,,,,
112011603,"Adams","CONEWAGO VALLEY SD",8,"Multi-Ethnic",0,,,,
112011603,"Adams","CONEWAGO VALLEY SD",8,"IEP",42,0.0,14.3,78.6,7.1
112011603,"Adams","CONEWAGO VALLEY SD",8,"ELL",5,,,,
112011603,"Adams","CONEWAGO VALLEY SD",8,"Economically Disadvantaged",104,1.0,52.9,44.2,1.9
112011603,"Adams","CONEWAGO VALLEY SD",11,"All Students",317,6.9,68.8,22.7,1.6
112011603,"Adams","CONEWAGO VALLEY SD",11,"Male",166,4.2,65.1,27.7,3.0
112011603,"Adams","CONEWAGO VALLEY SD",11,"Female",151,9.9,72.8,17.2,0.0
112011603,"Adams","CONEWAGO VALLEY SD",11,"White",281,6.8,69.8,21.7,1.8
112011603,"Adams","CONEWAGO VALLEY SD",11,"Black",6,,,,
112011603,"Adams","CONEWAGO VALLEY SD",11,"Hispanic",27,11.1,59.3,29.6,0.0
112011603,"Adams","CONEWAGO VALLEY SD",11,"Asian",3,,,,
112011603,"Adams","CONEWAGO VALLEY SD",11,"Native American",0,,,,
112011603,"Adams","CONEWAGO VALLEY SD",11,"Multi-Ethnic",0,,,,
112011603,"Adams","CONEWAGO VALLEY SD",11,"IEP",39,0.0,15.4,71.8,12.8
112011603,"Adams","CONEWAGO VALLEY SD",11,"ELL",5,,,,
112011603,"Adams","CONEWAGO VALLEY SD",11,"Economically Disadvantaged",75,2.7,64.0,32.0,1.3
112013054,"Adams","FAIRFIELD AREA SD",5,"All Students",89,1.1,69.7,29.2,0.0
112013054,"Adams","FAIRFIELD AREA SD",5,"Male",44,0.0,52.3,47.7,0.0
112013054,"Adams","FAIRFIELD AREA SD",5,"Female",45,2.2,86.7,11.1,0.0
112013054,"Adams","FAIRFIELD AREA SD",5,"White",85,1.2,69.4,29.4,0.0
112013054,"Adams","FAIRFIELD AREA SD",5,"Black",0,,,,
112013054,"Adams","FAIRFIELD AREA SD",5,"Hispanic",1,,,,
112013054,"Adams","FAIRFIELD AREA SD",5,"Asian",2,,,,
112013054,"Adams","FAIRFIELD AREA SD",5,"Native American",0,,,,
112013054,"Adams","FAIRFIELD AREA SD",5,"Multi-Ethnic",1,,,,
112013054,"Adams","FAIRFIELD AREA SD",5,"IEP",8,,,,
112013054,"Adams","FAIRFIELD AREA SD",5,"ELL",0,,,,
112013054,"Adams","FAIRFIELD AREA SD",5,"Economically Disadvantaged",18,0.0,66.7,33.3,0.0
112013054,"Adams","FAIRFIELD AREA SD",8,"All Students",100,8.0,47.0,43.0,2.0
112013054,"Adams","FAIRFIELD AREA SD",8,"Male",52,7.7,28.8,59.6,3.8
112013054,"Adams","FAIRFIELD AREA SD",8,"Female",48,8.3,66.7,25.0,0.0
112013054,"Adams","FAIRFIELD AREA SD",8,"White",96,7.3,46.9,43.8,2.1
112013054,"Adams","FAIRFIELD AREA SD",8,"Black",2,,,,
112013054,"Adams","FAIRFIELD AREA SD",8,"Hispanic",0,,,,
112013054,"Adams","FAIRFIELD AREA SD",8,"Asian",1,,,,
112013054,"Adams","FAIRFIELD AREA SD",8,"Native American",0,,,,
112013054,"Adams","FAIRFIELD AREA SD",8,"Multi-Ethnic",1,,,,
112013054,"Adams","FAIRFIELD AREA SD",8,"IEP",13,7.7,7.7,69.2,15.4
112013054,"Adams","FAIRFIELD AREA SD",8,"ELL",0,,,,
112013054,"Adams","FAIRFIELD AREA SD",8,"Economically Disadvantaged",24,0.0,45.8,50.0,4.2
112013054,"Adams","FAIRFIELD AREA SD",11,"All Students",97,12.4,75.3,12.4,0.0
112013054,"Adams","FAIRFIELD AREA SD",11,"Male",47,6.4,76.6,17.0,0.0
112013054,"Adams","FAIRFIELD AREA SD",11,"Female",50,18.0,74.0,8.0,0.0
112013054,"Adams","FAIRFIELD AREA SD",11,"White",92,13.0,76.1,10.9,0.0
112013054,"Adams","FAIRFIELD AREA SD",11,"Black",2,,,,
112013054,"Adams","FAIRFIELD AREA SD",11,"Hispanic",3,,,,
112013054,"Adams","FAIRFIELD AREA SD",11,"Asian",0,,,,
112013054,"Adams","FAIRFIELD AREA SD",11,"Native American",0,,,,
112013054,"Adams","FAIRFIELD AREA SD",11,"Multi-Ethnic",0,,,,
112013054,"Adams","FAIRFIELD AREA SD",11,"IEP",8,,,,
112013054,"Adams","FAIRFIELD AREA SD",11,"ELL",0,,,,
112013054,"Adams","FAIRFIELD AREA SD",11,"Economically Disadvantaged",9,,,,
112013753,"Adams","GETTYSBURG AREA SD",5,"All Students",254,1.6,51.2,44.5,2.8
112013753,"Adams","GETTYSBURG AREA SD",5,"Male",126,0.0,43.7,50.8,5.6
112013753,"Adams","GETTYSBURG AREA SD",5,"Female",128,3.1,58.6,38.3,0.0
112013753,"Adams","GETTYSBURG AREA SD",5,"White",215,1.9,54.4,40.9,2.8
112013753,"Adams","GETTYSBURG AREA SD",5,"Black",11,0.0,36.4,63.6,0.0
112013753,"Adams","GETTYSBURG AREA SD",5,"Hispanic",21,0.0,23.8,71.4,4.8
112013753,"Adams","GETTYSBURG AREA SD",5,"Asian",6,,,,
112013753,"Adams","GETTYSBURG AREA SD",5,"Native American",1,,,,
112013753,"Adams","GETTYSBURG AREA SD",5,"Multi-Ethnic",0,,,,
112013753,"Adams","GETTYSBURG AREA SD",5,"IEP",40,2.5,15.0,77.5,5.0
112013753,"Adams","GETTYSBURG AREA SD",5,"ELL",7,,,,
112013753,"Adams","GETTYSBURG AREA SD",5,"Economically Disadvantaged",101,0.0,36.6,60.4,3.0
112013753,"Adams","GETTYSBURG AREA SD",8,"All Students",218,11.5,74.3,12.4,1.8
112013753,"Adams","GETTYSBURG AREA SD",8,"Male",108,7.4,69.4,19.4,3.7
112013753,"Adams","GETTYSBURG AREA SD",8,"Female",110,15.5,79.1,5.5,0.0
112013753,"Adams","GETTYSBURG AREA SD",8,"White",182,11.5,75.3,12.1,1.1
112013753,"Adams","GETTYSBURG AREA SD",8,"Black",18,5.6,61.1,22.2,11.1
112013753,"Adams","GETTYSBURG AREA SD",8,"Hispanic",16,6.3,87.5,6.3,0.0
112013753,"Adams","GETTYSBURG AREA SD",8,"Asian",2,,,,
112013753,"Adams","GETTYSBURG AREA SD",8,"Native American",0,,,,
112013753,"Adams","GETTYSBURG AREA SD",8,"Multi-Ethnic",0,,,,
112013753,"Adams","GETTYSBURG AREA SD",8,"IEP",25,0.0,40.0,44.0,16.0
112013753,"Adams","GETTYSBURG AREA SD",8,"ELL",1,,,,
112013753,"Adams","GETTYSBURG AREA SD",8,"Economically Disadvantaged",78,6.4,74.4,15.4,3.8
112013753,"Adams","GETTYSBURG AREA SD",11,"All Students",229,14.0,64.6,17.0,4.4
112013753,"Adams","GETTYSBURG AREA SD",11,"Male",111,6.3,64.0,22.5,7.2
112013753,"Adams","GETTYSBURG AREA SD",11,"Female",118,21.2,65.3,11.9,1.7
112013753,"Adams","GETTYSBURG AREA SD",11,"White",193,15.5,63.7,16.1,4.7
112013753,"Adams","GETTYSBURG AREA SD",11,"Black",12,8.3,58.3,33.3,0.0
112013753,"Adams","GETTYSBURG AREA SD",11,"Hispanic",20,0.0,75.0,20.0,5.0
112013753,"Adams","GETTYSBURG AREA SD",11,"Asian",4,,,,
112013753,"Adams","GETTYSBURG AREA SD",11,"Native American",0,,,,
112013753,"Adams","GETTYSBURG AREA SD",11,"Multi-Ethnic",0,,,,
112013753,"Adams","GETTYSBURG AREA SD",11,"IEP",29,0.0,27.6,58.6,13.8
112013753,"Adams","GETTYSBURG AREA SD",11,"ELL",2,,,,
112013753,"Adams","GETTYSBURG AREA SD",11,"Economically Disadvantaged",72,12.5,52.8,27.8,6.9
112015203,"Adams","LITTLESTOWN AREA SD",5,"All Students",141,0.7,64.5,34.8,0.0
112015203,"Adams","LITTLESTOWN AREA SD",5,"Male",77,0.0,62.3,37.7,0.0
112015203,"Adams","LITTLESTOWN AREA SD",5,"Female",64,1.6,67.2,31.3,0.0
112015203,"Adams","LITTLESTOWN AREA SD",5,"White",129,0.8,63.6,35.7,0.0
112015203,"Adams","LITTLESTOWN AREA SD",5,"Black",6,,,,
112015203,"Adams","LITTLESTOWN AREA SD",5,"Hispanic",5,,,,
112015203,"Adams","LITTLESTOWN AREA SD",5,"Asian",1,,,,
112015203,"Adams","LITTLESTOWN AREA SD",5,"Native American",0,,,,
112015203,"Adams","LITTLESTOWN AREA SD",5,"Multi-Ethnic",0,,,,
112015203,"Adams","LITTLESTOWN AREA SD",5,"IEP",13,0.0,23.1,76.9,0.0
112015203,"Adams","LITTLESTOWN AREA SD",5,"ELL",2,,,,
112015203,"Adams","LITTLESTOWN AREA SD",5,"Economically Disadvantaged",36,0.0,41.7,58.3,0.0
112015203,"Adams","LITTLESTOWN AREA SD",8,"All Students",172,17.4,69.8,11.6,1.2
112015203,"Adams","LITTLESTOWN AREA SD",8,"Male",100,11.0,75.0,13.0,1.0
112015203,"Adams","LITTLESTOWN AREA SD",8,"Female",72,26.4,62.5,9.7,1.4
112015203,"Adams","LITTLESTOWN AREA SD",8,"White",158,17.7,70.3,10.8,1.3
112015203,"Adams","LITTLESTOWN AREA SD",8,"Black",6,,,,
112015203,"Adams","LITTLESTOWN AREA SD",8,"Hispanic",6,,,,
112015203,"Adams","LITTLESTOWN AREA SD",8,"Asian",1,,,,
112015203,"Adams","LITTLESTOWN AREA SD",8,"Native American",1,,,,
112015203,"Adams","LITTLESTOWN AREA SD",8,"Multi-Ethnic",0,,,,
112015203,"Adams","LITTLESTOWN AREA SD",8,"IEP",21,0.0,33.3,57.1,9.5
112015203,"Adams","LITTLESTOWN AREA SD",8,"ELL",1,,,,
112015203,"Adams","LITTLESTOWN AREA SD",8,"Economically Disadvantaged",46,10.9,65.2,23.9,0.0
112015203,"Adams","LITTLESTOWN AREA SD",11,"All Students",158,7.0,76.6,15.2,1.3
112015203,"Adams","LITTLESTOWN AREA SD",11,"Male",78,7.7,69.2,20.5,2.6
112015203,"Adams","LITTLESTOWN AREA SD",11,"Female",80,6.3,83.8,10.0,0.0
112015203,"Adams","LITTLESTOWN AREA SD",11,"White",148,7.4,76.4,14.9,1.4
112015203,"Adams","LITTLESTOWN AREA SD",11,"Black",5,,,,
112015203,"Adams","LITTLESTOWN AREA SD",11,"Hispanic",0,,,,
112015203,"Adams","LITTLESTOWN AREA SD",11,"Asian",5,,,,
112015203,"Adams","LITTLESTOWN AREA SD",11,"Native American",0,,,,
112015203,"Adams","LITTLESTOWN AREA SD",11,"Multi-Ethnic",0,,,,
112015203,"Adams","LITTLESTOWN AREA SD",11,"IEP",14,0.0,42.9,50.0,7.1
112015203,"Adams","LITTLESTOWN AREA SD",11,"ELL",0,,,,
112015203,"Adams","LITTLESTOWN AREA SD",11,"Economically Disadvantaged",34,2.9,82.4,14.7,0.0
112018523,"Adams","UPPER ADAMS SD",5,"All Students",106,0.0,65.1,32.1,2.8
112018523,"Adams","UPPER ADAMS SD",5,"Male",60,0.0,56.7,38.3,5.0
112018523,"Adams","UPPER ADAMS SD",5,"Female",46,0.0,76.1,23.9,0.0
112018523,"Adams","UPPER ADAMS SD",5,"White",75,0.0,62.7,36.0,1.3
112018523,"Adams","UPPER ADAMS SD",5,"Black",3,,,,
112018523,"Adams","UPPER ADAMS SD",5,"Hispanic",27,0.0,70.4,22.2,7.4
112018523,"Adams","UPPER ADAMS SD",5,"Asian",0,,,,
112018523,"Adams","UPPER ADAMS SD",5,"Native American",0,,,,
112018523,"Adams","UPPER ADAMS SD",5,"Multi-Ethnic",1,,,,
112018523,"Adams","UPPER ADAMS SD",5,"IEP",10,,,,
112018523,"Adams","UPPER ADAMS SD",5,"ELL",6,,,,
112018523,"Adams","UPPER ADAMS SD",5,"Economically Disadvantaged",51,0.0,60.8,33.3,5.9
112018523,"Adams","UPPER ADAMS SD",8,"All Students",127,0.8,58.3,37.8,3.1
112018523,"Adams","UPPER ADAMS SD",8,"Male",58,1.7,41.4,50.0,6.9
112018523,"Adams","UPPER ADAMS SD",8,"Female",69,0.0,72.5,27.5,0.0
112018523,"Adams","UPPER ADAMS SD",8,"White",96,1.0,56.3,38.5,4.2
112018523,"Adams","UPPER ADAMS SD",8,"Black",4,,,,
112018523,"Adams","UPPER ADAMS SD",8,"Hispanic",25,0.0,68.0,32.0,0.0
112018523,"Adams","UPPER ADAMS SD",8,"Asian",2,,,,
112018523,"Adams","UPPER ADAMS SD",8,"Native American",0,,,,
112018523,"Adams","UPPER ADAMS SD",8,"Multi-Ethnic",0,,,,
112018523,"Adams","UPPER ADAMS SD",8,"IEP",24,0.0,20.8,70.8,8.3
112018523,"Adams","UPPER ADAMS SD",8,"ELL",2,,,,
112018523,"Adams","UPPER ADAMS SD",8,"Economically Disadvantaged",52,0.0,50.0,48.1,1.9
112018523,"Adams","UPPER ADAMS SD",11,"All Students",133,10.5,78.9,9.8,0.8
112018523,"Adams","UPPER ADAMS SD",11,"Male",62,8.1,75.8,14.5,1.6
112018523,"Adams","UPPER ADAMS SD",11,"Female",71,12.7,81.7,5.6,0.0
112018523,"Adams","UPPER ADAMS SD",11,"White",114,9.6,81.6,7.9,0.9
112018523,"Adams","UPPER ADAMS SD",11,"Black",0,,,,
112018523,"Adams","UPPER ADAMS SD",11,"Hispanic",19,15.8,63.2,21.1,0.0
112018523,"Adams","UPPER ADAMS SD",11,"Asian",0,,,,
112018523,"Adams","UPPER ADAMS SD",11,"Native American",0,,,,
112018523,"Adams","UPPER ADAMS SD",11,"Multi-Ethnic",0,,,,
112018523,"Adams","UPPER ADAMS SD",11,"IEP",17,0.0,41.2,52.9,5.9
112018523,"Adams","UPPER ADAMS SD",11,"ELL",1,,,,
112018523,"Adams","UPPER ADAMS SD",11,"Economically Disadvantaged",40,12.5,75.0,12.5,0.0
103020603,"Allegheny","ALLEGHENY VALLEY SD",5,"All Students",85,0.0,76.5,22.4,1.2
103020603,"Allegheny","ALLEGHENY VALLEY SD",5,"Male",47,0.0,66.0,31.9,2.1
103020603,"Allegheny","ALLEGHENY VALLEY SD",5,"Female",38,0.0,89.5,10.5,0.0
103020603,"Allegheny","ALLEGHENY VALLEY SD",5,"White",84,0.0,76.2,22.6,1.2
103020603,"Allegheny","ALLEGHENY VALLEY SD",5,"Black",1,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",5,"Hispanic",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",5,"Asian",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",5,"Native American",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",5,"Multi-Ethnic",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",5,"IEP",15,0.0,60.0,33.3,6.7
103020603,"Allegheny","ALLEGHENY VALLEY SD",5,"ELL",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",5,"Economically Disadvantaged",26,0.0,69.2,30.8,0.0
103020603,"Allegheny","ALLEGHENY VALLEY SD",8,"All Students",72,12.5,63.9,19.4,4.2
103020603,"Allegheny","ALLEGHENY VALLEY SD",8,"Male",34,5.9,55.9,29.4,8.8
103020603,"Allegheny","ALLEGHENY VALLEY SD",8,"Female",38,18.4,71.1,10.5,0.0
103020603,"Allegheny","ALLEGHENY VALLEY SD",8,"White",71,11.3,64.8,19.7,4.2
103020603,"Allegheny","ALLEGHENY VALLEY SD",8,"Black",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",8,"Hispanic",1,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",8,"Asian",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",8,"Native American",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",8,"Multi-Ethnic",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",8,"IEP",9,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",8,"ELL",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",8,"Economically Disadvantaged",31,6.5,64.5,22.6,6.5
103020603,"Allegheny","ALLEGHENY VALLEY SD",11,"All Students",89,24.7,70.8,4.5,0.0
103020603,"Allegheny","ALLEGHENY VALLEY SD",11,"Male",40,20.0,77.5,2.5,0.0
103020603,"Allegheny","ALLEGHENY VALLEY SD",11,"Female",49,28.6,65.3,6.1,0.0
103020603,"Allegheny","ALLEGHENY VALLEY SD",11,"White",83,25.3,69.9,4.8,0.0
103020603,"Allegheny","ALLEGHENY VALLEY SD",11,"Black",3,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",11,"Hispanic",3,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",11,"Asian",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",11,"Native American",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",11,"Multi-Ethnic",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",11,"IEP",12,0.0,91.7,8.3,0.0
103020603,"Allegheny","ALLEGHENY VALLEY SD",11,"ELL",0,,,,
103020603,"Allegheny","ALLEGHENY VALLEY SD",11,"Economically Disadvantaged",27,14.8,77.8,7.4,0.0
103020753,"Allegheny","AVONWORTH SD",5,"All Students",101,6.9,75.2,16.8,1.0
103020753,"Allegheny","AVONWORTH SD",5,"Male",51,5.9,74.5,19.6,0.0
103020753,"Allegheny","AVONWORTH SD",5,"Female",50,8.0,76.0,14.0,2.0
103020753,"Allegheny","AVONWORTH SD",5,"White",92,6.5,76.1,16.3,1.1
103020753,"Allegheny","AVONWORTH SD",5,"Black",1,,,,
103020753,"Allegheny","AVONWORTH SD",5,"Hispanic",2,,,,
103020753,"Allegheny","AVONWORTH SD",5,"Asian",3,,,,
103020753,"Allegheny","AVONWORTH SD",5,"Native American",0,,,,
103020753,"Allegheny","AVONWORTH SD",5,"Multi-Ethnic",3,,,,
103020753,"Allegheny","AVONWORTH SD",5,"IEP",5,,,,
103020753,"Allegheny","AVONWORTH SD",5,"ELL",1,,,,
103020753,"Allegheny","AVONWORTH SD",5,"Economically Disadvantaged",5,,,,
103020753,"Allegheny","AVONWORTH SD",8,"All Students",82,18.3,74.4,7.3,0.0
103020753,"Allegheny","AVONWORTH SD",8,"Male",43,7.0,83.7,9.3,0.0
103020753,"Allegheny","AVONWORTH SD",8,"Female",38,31.6,63.2,5.3,0.0
103020753,"Allegheny","AVONWORTH SD",8,"White",75,18.7,74.7,6.7,0.0
103020753,"Allegheny","AVONWORTH SD",8,"Black",2,,,,
103020753,"Allegheny","AVONWORTH SD",8,"Hispanic",0,,,,
103020753,"Allegheny","AVONWORTH SD",8,"Asian",1,,,,
103020753,"Allegheny","AVONWORTH SD",8,"Native American",0,,,,
103020753,"Allegheny","AVONWORTH SD",8,"Multi-Ethnic",3,,,,
103020753,"Allegheny","AVONWORTH SD",8,"IEP",6,,,,
103020753,"Allegheny","AVONWORTH SD",8,"ELL",0,,,,
103020753,"Allegheny","AVONWORTH SD",8,"Economically Disadvantaged",9,,,,
103020753,"Allegheny","AVONWORTH SD",11,"All Students",101,24.8,65.3,7.9,2.0
103020753,"Allegheny","AVONWORTH SD",11,"Male",51,17.6,66.7,11.8,3.9
103020753,"Allegheny","AVONWORTH SD",11,"Female",50,32.0,64.0,4.0,0.0
103020753,"Allegheny","AVONWORTH SD",11,"White",99,25.3,66.7,6.1,2.0
103020753,"Allegheny","AVONWORTH SD",11,"Black",2,,,,
103020753,"Allegheny","AVONWORTH SD",11,"Hispanic",0,,,,
103020753,"Allegheny","AVONWORTH SD",11,"Asian",0,,,,
103020753,"Allegheny","AVONWORTH SD",11,"Native American",0,,,,
103020753,"Allegheny","AVONWORTH SD",11,"Multi-Ethnic",0,,,,
103020753,"Allegheny","AVONWORTH SD",11,"IEP",16,6.3,50.0,37.5,6.3
103020753,"Allegheny","AVONWORTH SD",11,"ELL",0,,,,
103020753,"Allegheny","AVONWORTH SD",11,"Economically Disadvantaged",12,8.3,75.0,8.3,8.3
103021102,"Allegheny","BALDWIN-WHITEHALL SD",5,"All Students",256,2.7,76.6,20.3,0.4
103021102,"Allegheny","BALDWIN-WHITEHALL SD",5,"Male",133,0.8,69.2,29.3,0.8
103021102,"Allegheny","BALDWIN-WHITEHALL SD",5,"Female",122,4.9,84.4,10.7,0.0
103021102,"Allegheny","BALDWIN-WHITEHALL SD",5,"White",218,2.8,79.4,17.9,0.0
103021102,"Allegheny","BALDWIN-WHITEHALL SD",5,"Black",14,7.1,57.1,35.7,0.0
103021102,"Allegheny","BALDWIN-WHITEHALL SD",5,"Hispanic",2,,,,
103021102,"Allegheny","BALDWIN-WHITEHALL SD",5,"Asian",11,0.0,54.5,36.4,9.1
103021102,"Allegheny","BALDWIN-WHITEHALL SD",5,"Native American",0,,,,
103021102,"Allegheny","BALDWIN-WHITEHALL SD",5,"Multi-Ethnic",10,,,,
103021102,"Allegheny","BALDWIN-WHITEHALL SD",5,"IEP",29,0.0,31.0,69.0,0.0
103021102,"Allegheny","BALDWIN-WHITEHALL SD",5,"ELL",11,0.0,27.3,63.6,9.1
103021102,"Allegheny","BALDWIN-WHITEHALL SD",5,"Economically Disadvantaged",76,1.3,65.8,31.6,1.3
103021102,"Allegheny","BALDWIN-WHITEHALL SD",8,"All Students",301,3.0,53.8,38.5,4.7
103021102,"Allegheny","BALDWIN-WHITEHALL SD",8,"Male",154,2.6,42.2,48.1,7.1
103021102,"Allegheny","BALDWIN-WHITEHALL SD",8,"Female",147,3.4,66.0,28.6,2.0
103021102,"Allegheny","BALDWIN-WHITEHALL SD",8,"White",259,3.1,55.6,37.8,3.5
103021102,"Allegheny","BALDWIN-WHITEHALL SD",8,"Black",25,0.0,44.0,52.0,4.0
103021102,"Allegheny","BALDWIN-WHITEHALL SD",8,"Hispanic",1,,,,
103021102,"Allegheny","BALDWIN-WHITEHALL SD",8,"Asian",11,9.1,18.2,36.4,36.4
103021102,"Allegheny","BALDWIN-WHITEHALL SD",8,"Native American",0,,,,
