"The 2010 PSSA Writing District Level Proficiency Results*",,,,,,,,,,
"*Full Academic Year Students. Data for groups with less than 10 students assessed were replaced by blanks. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,
"AUN","County","IU #","District","Grade","Group","Number Scored Writing","% Advanced Writing","% Proficient Writing","% Basic Writing","% Below Basic Writing"
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Native American",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Multi-ethnic",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"IEP",10,0.0,10.0,80.0,10.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"ELL",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Economically Disadvantaged",13,7.7,69.2,23.1,0.0
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"All Students",88,3.4,76.1,18.2,2.3
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Male",42,0.0,73.8,23.8,2.4
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Female",45,6.7,77.8,13.3,2.2
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"White",86,3.5,75.6,18.6,2.3
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Black",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Hispanic",1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Asian",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Native American",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Multi-ethnic",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"IEP",11,0.0,45.5,36.4,18.2
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"ELL",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Economically Disadvantaged",12,8.3,58.3,25.0,8.3
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"All Students",207,2.4,61.4,33.8,2.4
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Male",105,1.0,61.0,35.2,2.9
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Female",102,3.9,61.8,32.4,2.0
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"White",174,2.9,66.1,29.9,1.1
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Black",9,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Hispanic",19,0.0,26.3,63.2,10.5
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Asian",4,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Native American",1,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Multi-ethnic",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"IEP",22,0.0,4.5,72.7,22.7
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"ELL",9,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Economically Disadvantaged",71,0.0,36.6,57.7,5.6
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"All Students",219,16.4,67.6,13.2,2.7
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Male",114,14.9,62.3,17.5,5.3
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Female",105,18.1,73.3,8.6,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"White",182,17.6,68.1,12.6,1.6
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Black",10,20.0,50.0,20.0,10.0
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Hispanic",26,3.8,73.1,15.4,7.7
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Asian",1,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Native American",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Multi-ethnic",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"IEP",28,0.0,35.7,46.4,17.9
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"ELL",7,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Economically Disadvantaged",70,8.6,68.6,17.1,5.7
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"All Students",271,13.3,64.9,18.8,3.0
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Male",143,7.0,62.9,25.9,4.2
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Female",127,20.5,67.7,10.2,1.6
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"White",223,14.8,64.1,17.9,3.1
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Black",18,16.7,61.1,16.7,5.6
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Hispanic",24,0.0,75.0,25.0,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Asian",5,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Native American",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Multi-ethnic",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"IEP",31,0.0,35.5,45.2,19.4
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"ELL",6,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Economically Disadvantaged",83,7.2,66.3,25.3,1.2
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"All Students",173,0.6,40.5,56.6,2.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"Male",86,0.0,29.1,68.6,2.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"Female",86,1.2,51.2,45.3,2.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"White",160,0.6,40.6,56.9,1.9
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"Black",8,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"Hispanic",3,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"Asian",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"Native American",1,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"Multi-ethnic",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"IEP",24,0.0,8.3,79.2,12.5
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"ELL",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"Economically Disadvantaged",48,0.0,20.8,75.0,4.2
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"All Students",147,7.5,72.8,19.7,0.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Male",77,5.2,67.5,27.3,0.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Female",70,10.0,78.6,11.4,0.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"White",138,8.0,73.2,18.8,0.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Black",7,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Hispanic",2,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Asian",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Native American",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Multi-ethnic",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"IEP",12,0.0,33.3,66.7,0.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"ELL",1,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Economically Disadvantaged",41,0.0,78.0,22.0,0.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"All Students",169,3.6,65.7,24.3,6.5
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Male",90,2.2,57.8,32.2,7.8
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Female",79,5.1,74.7,15.2,5.1
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"White",160,3.8,66.9,22.5,6.9
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Black",4,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Hispanic",3,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Asian",2,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Native American",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Multi-ethnic",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"IEP",16,0.0,43.8,37.5,18.8
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"ELL",1,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Economically Disadvantaged",31,3.2,54.8,25.8,16.1
112018523,"Adams",12,"UPPER ADAMS SD",5,"All Students",122,1.6,67.2,28.7,2.5
112018523,"Adams",12,"UPPER ADAMS SD",5,"Male",65,1.5,56.9,38.5,3.1
112018523,"Adams",12,"UPPER ADAMS SD",5,"Female",57,1.8,78.9,17.5,1.8
112018523,"Adams",12,"UPPER ADAMS SD",5,"White",97,2.1,68.0,26.8,3.1
112018523,"Adams",12,"UPPER ADAMS SD",5,"Black",4,,,,
112018523,"Adams",12,"UPPER ADAMS SD",5,"Hispanic",21,0.0,66.7,33.3,0.0
112018523,"Adams",12,"UPPER ADAMS SD",5,"Asian",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",5,"Native American",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",5,"Multi-ethnic",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",5,"IEP",21,0.0,23.8,61.9,14.3
112018523,"Adams",12,"UPPER ADAMS SD",5,"ELL",4,,,,
112018523,"Adams",12,"UPPER ADAMS SD",5,"Economically Disadvantaged",56,0.0,57.1,37.5,5.4
112018523,"Adams",12,"UPPER ADAMS SD",8,"All Students",119,3.4,63.9,31.1,1.7
112018523,"Adams",12,"UPPER ADAMS SD",8,"Male",63,1.6,57.1,38.1,3.2
112018523,"Adams",12,"UPPER ADAMS SD",8,"Female",56,5.4,71.4,23.2,0.0
112018523,"Adams",12,"UPPER ADAMS SD",8,"White",87,3.4,65.5,29.9,1.1
112018523,"Adams",12,"UPPER ADAMS SD",8,"Black",3,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"Hispanic",27,0.0,63.0,33.3,3.7
112018523,"Adams",12,"UPPER ADAMS SD",8,"Asian",2,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"Native American",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"Multi-ethnic",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"IEP",12,0.0,16.7,75.0,8.3
112018523,"Adams",12,"UPPER ADAMS SD",8,"ELL",3,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"Economically Disadvantaged",55,3.6,58.2,36.4,1.8
112018523,"Adams",12,"UPPER ADAMS SD",11,"All Students",127,3.1,68.5,26.0,2.4
112018523,"Adams",12,"UPPER ADAMS SD",11,"Male",58,1.7,60.3,32.8,5.2
112018523,"Adams",12,"UPPER ADAMS SD",11,"Female",69,4.3,75.4,20.3,0.0
112018523,"Adams",12,"UPPER ADAMS SD",11,"White",108,3.7,68.5,25.0,2.8
112018523,"Adams",12,"UPPER ADAMS SD",11,"Black",3,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"Hispanic",15,0.0,66.7,33.3,0.0
112018523,"Adams",12,"UPPER ADAMS SD",11,"Asian",1,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"Native American",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"Multi-ethnic",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"IEP",17,0.0,52.9,41.2,5.9
112018523,"Adams",12,"UPPER ADAMS SD",11,"ELL",3,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"Economically Disadvantaged",35,0.0,65.7,34.3,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"All Students",80,0.0,67.5,31.3,1.3
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"Male",42,0.0,57.1,40.5,2.4
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"Female",38,0.0,78.9,21.1,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"White",77,0.0,68.8,29.9,1.3
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"Black",1,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"Hispanic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"Asian",2,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"Native American",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"Multi-ethnic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"IEP",10,0.0,20.0,80.0,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"ELL",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"Economically Disadvantaged",24,0.0,41.7,54.2,4.2
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"All Students",83,16.9,71.1,9.6,2.4
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Male",43,4.7,76.7,16.3,2.3
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Female",40,30.0,65.0,2.5,2.5
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"White",80,17.5,71.3,8.8,2.5
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Black",2,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Hispanic",1,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Asian",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Native American",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Multi-ethnic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"IEP",8,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"ELL",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Economically Disadvantaged",32,6.3,75.0,12.5,6.3
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"All Students",90,13.3,60.0,24.4,2.2
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Male",48,6.3,60.4,29.2,4.2
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Female",42,21.4,59.5,19.0,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"White",87,13.8,60.9,23.0,2.3
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Black",2,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Hispanic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Asian",1,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Native American",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Multi-ethnic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"IEP",16,6.3,25.0,56.3,12.5
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"ELL",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Economically Disadvantaged",33,6.1,54.5,39.4,0.0
103020753,"Allegheny",3,"AVONWORTH SD",5,"All Students",118,2.5,67.8,28.0,1.7
103020753,"Allegheny",3,"AVONWORTH SD",5,"Male",62,1.6,59.7,35.5,3.2
103020753,"Allegheny",3,"AVONWORTH SD",5,"Female",56,3.6,76.8,19.6,0.0
103020753,"Allegheny",3,"AVONWORTH SD",5,"White",113,2.7,68.1,27.4,1.8
103020753,"Allegheny",3,"AVONWORTH SD",5,"Black",2,,,,
103020753,"Allegheny",3,"AVONWORTH SD",5,"Hispanic",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",5,"Asian",2,,,,
103020753,"Allegheny",3,"AVONWORTH SD",5,"Native American",1,,,,
103020753,"Allegheny",3,"AVONWORTH SD",5,"Multi-ethnic",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",5,"IEP",16,0.0,18.8,68.8,12.5
103020753,"Allegheny",3,"AVONWORTH SD",5,"ELL",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",5,"Economically Disadvantaged",14,0.0,57.1,42.9,0.0
103020753,"Allegheny",3,"AVONWORTH SD",8,"All Students",115,16.5,74.8,8.7,0.0
103020753,"Allegheny",3,"AVONWORTH SD",8,"Male",59,11.9,72.9,15.3,0.0
103020753,"Allegheny",3,"AVONWORTH SD",8,"Female",56,21.4,76.8,1.8,0.0
103020753,"Allegheny",3,"AVONWORTH SD",8,"White",106,17.9,74.5,7.5,0.0
103020753,"Allegheny",3,"AVONWORTH SD",8,"Black",7,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Hispanic",1,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Asian",1,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Native American",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Multi-ethnic",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"IEP",10,0.0,60.0,40.0,0.0
103020753,"Allegheny",3,"AVONWORTH SD",8,"ELL",2,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Economically Disadvantaged",12,0.0,91.7,8.3,0.0
103020753,"Allegheny",3,"AVONWORTH SD",11,"All Students",93,15.1,69.9,14.0,1.1
103020753,"Allegheny",3,"AVONWORTH SD",11,"Male",38,2.6,68.4,28.9,0.0
103020753,"Allegheny",3,"AVONWORTH SD",11,"Female",55,23.6,70.9,3.6,1.8
103020753,"Allegheny",3,"AVONWORTH SD",11,"White",86,16.3,68.6,14.0,1.2
103020753,"Allegheny",3,"AVONWORTH SD",11,"Black",1,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Hispanic",4,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Asian",2,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Native American",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Multi-ethnic",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"IEP",11,0.0,45.5,45.5,9.1
103020753,"Allegheny",3,"AVONWORTH SD",11,"ELL",2,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Economically Disadvantaged",8,,,,
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",5,"All Students",275,3.3,72.7,22.9,1.1
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",5,"Male",149,1.3,68.5,28.9,1.3
