"The 2009 PSSA Writing District Level Proficiency Results",,,,,,,,,,
"(Full Academic Year; No PASA Scores) Subgroups with less than 10 students assessed were removed from the file. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,
,,,,,,,,,,
"AUN","County","IU Number","District","Grade","Group","Number Scored Writing","% Advanced Writing","% Proficient Writing","% Basic Writing","% Below Basic Writing"
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Male",43,0.0,55.8,44.2,0.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Female",57,12.3,61.4,24.6,1.8
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"White",97,7.2,57.7,34.0,1.0
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"All Students",94,8.5,75.5,13.8,2.1
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"IEP",12,8.3,58.3,16.7,16.7
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Economically Disadvantaged",10,10.0,80.0,10.0,0.0
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Male",43,7.0,69.8,18.6,4.7
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Female",51,9.8,80.4,9.8,0.0
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"White",91,8.8,74.7,14.3,2.2
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"All Students",227,0.9,48.5,50.7,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"IEP",28,0.0,10.7,89.3,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Economically Disadvantaged",90,0.0,34.4,65.6,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Male",111,1.8,37.8,60.4,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Female",116,0.0,58.6,41.4,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"White",182,1.1,50.5,48.4,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Black",17,0.0,47.1,52.9,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",5,"Hispanic",26,0.0,34.6,65.4,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"All Students",224,14.7,66.1,16.1,3.1
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"IEP",21,0.0,28.6,47.6,23.8
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Economically Disadvantaged",79,8.9,68.4,17.7,5.1
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Male",105,9.5,61.9,24.8,3.8
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Female",119,19.3,69.7,8.4,2.5
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"White",184,14.7,67.4,14.1,3.8
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Black",16,12.5,50.0,37.5,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Hispanic",19,0.0,84.2,15.8,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"All Students",254,16.5,68.9,12.6,2.0
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"IEP",36,0.0,41.7,44.4,13.9
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Economically Disadvantaged",61,6.6,67.2,21.3,4.9
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Male",133,11.3,66.9,18.8,3.0
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Female",120,22.5,70.8,5.8,0.8
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"White",220,17.3,70.0,10.9,1.8
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Black",13,15.4,69.2,15.4,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Hispanic",16,6.3,50.0,37.5,6.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"All Students",151,1.3,56.3,42.4,0.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"IEP",17,0.0,17.6,82.4,0.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"Economically Disadvantaged",44,0.0,43.2,56.8,0.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"Male",71,0.0,39.4,60.6,0.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"Female",79,2.5,72.2,25.3,0.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",5,"White",131,1.5,53.4,45.0,0.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"All Students",176,5.7,68.8,23.3,2.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"IEP",17,0.0,29.4,64.7,5.9
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Economically Disadvantaged",47,4.3,63.8,29.8,2.1
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Male",94,2.1,67.0,26.6,4.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Female",82,9.8,70.7,19.5,0.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"White",165,6.1,67.9,23.6,2.4
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"All Students",179,7.8,74.3,15.1,2.8
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"IEP",25,0.0,32.0,48.0,20.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Economically Disadvantaged",36,5.6,66.7,22.2,5.6
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Male",92,5.4,66.3,23.9,4.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Female",86,10.5,83.7,4.7,1.2
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"White",169,7.7,74.6,14.8,3.0
112018523,"Adams",12,"UPPER ADAMS SD",5,"All Students",117,3.4,60.7,35.0,0.9
112018523,"Adams",12,"UPPER ADAMS SD",5,"IEP",15,0.0,13.3,86.7,0.0
112018523,"Adams",12,"UPPER ADAMS SD",5,"ELL",10,0.0,30.0,70.0,0.0
112018523,"Adams",12,"UPPER ADAMS SD",5,"Economically Disadvantaged",60,3.3,53.3,41.7,1.7
112018523,"Adams",12,"UPPER ADAMS SD",5,"Male",62,3.2,51.6,45.2,0.0
112018523,"Adams",12,"UPPER ADAMS SD",5,"Female",55,3.6,70.9,23.6,1.8
112018523,"Adams",12,"UPPER ADAMS SD",5,"White",85,4.7,63.5,31.8,0.0
112018523,"Adams",12,"UPPER ADAMS SD",5,"Hispanic",27,0.0,51.9,48.1,0.0
112018523,"Adams",12,"UPPER ADAMS SD",8,"All Students",127,5.5,65.4,26.0,3.1
112018523,"Adams",12,"UPPER ADAMS SD",8,"IEP",19,0.0,21.1,57.9,21.1
112018523,"Adams",12,"UPPER ADAMS SD",8,"Economically Disadvantaged",49,4.1,59.2,32.7,4.1
112018523,"Adams",12,"UPPER ADAMS SD",8,"Male",60,1.7,60.0,33.3,5.0
112018523,"Adams",12,"UPPER ADAMS SD",8,"Female",67,9.0,70.1,19.4,1.5
112018523,"Adams",12,"UPPER ADAMS SD",8,"White",100,6.0,67.0,23.0,4.0
112018523,"Adams",12,"UPPER ADAMS SD",8,"Hispanic",22,0.0,59.1,40.9,0.0
112018523,"Adams",12,"UPPER ADAMS SD",11,"All Students",142,9.9,76.1,10.6,3.5
112018523,"Adams",12,"UPPER ADAMS SD",11,"IEP",22,0.0,45.5,31.8,22.7
112018523,"Adams",12,"UPPER ADAMS SD",11,"Economically Disadvantaged",45,11.1,62.2,22.2,4.4
112018523,"Adams",12,"UPPER ADAMS SD",11,"Male",77,10.4,68.8,14.3,6.5
112018523,"Adams",12,"UPPER ADAMS SD",11,"Female",65,9.2,84.6,6.2,0.0
112018523,"Adams",12,"UPPER ADAMS SD",11,"White",114,12.3,78.9,6.1,2.6
112018523,"Adams",12,"UPPER ADAMS SD",11,"Hispanic",23,0.0,65.2,30.4,4.3
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"All Students",85,3.5,50.6,45.9,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"IEP",11,0.0,27.3,72.7,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"Economically Disadvantaged",28,3.6,32.1,64.3,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"Male",40,0.0,52.5,47.5,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"Female",45,6.7,48.9,44.4,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",5,"White",84,3.6,51.2,45.2,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"All Students",97,14.4,67.0,17.5,1.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Economically Disadvantaged",36,13.9,66.7,19.4,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Male",50,10.0,64.0,24.0,2.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Female",47,19.1,70.2,10.6,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"White",97,14.4,67.0,17.5,1.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"All Students",106,17.0,66.0,16.0,0.9
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"IEP",14,0.0,42.9,57.1,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Economically Disadvantaged",24,8.3,79.2,12.5,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Male",41,9.8,63.4,24.4,2.4
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Female",65,21.5,67.7,10.8,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"White",104,17.3,65.4,16.3,1.0
103020753,"Allegheny",3,"AVONWORTH SD",5,"All Students",91,11.0,60.4,28.6,0.0
103020753,"Allegheny",3,"AVONWORTH SD",5,"IEP",16,0.0,43.8,56.3,0.0
103020753,"Allegheny",3,"AVONWORTH SD",5,"Male",50,6.0,58.0,36.0,0.0
103020753,"Allegheny",3,"AVONWORTH SD",5,"Female",41,17.1,63.4,19.5,0.0
103020753,"Allegheny",3,"AVONWORTH SD",5,"White",83,10.8,61.4,27.7,0.0
103020753,"Allegheny",3,"AVONWORTH SD",8,"All Students",96,36.5,59.4,4.2,0.0
103020753,"Allegheny",3,"AVONWORTH SD",8,"IEP",14,14.3,71.4,14.3,0.0
103020753,"Allegheny",3,"AVONWORTH SD",8,"Male",52,28.8,65.4,5.8,0.0
103020753,"Allegheny",3,"AVONWORTH SD",8,"Female",44,45.5,52.3,2.3,0.0
103020753,"Allegheny",3,"AVONWORTH SD",8,"White",94,36.2,59.6,4.3,0.0
103020753,"Allegheny",3,"AVONWORTH SD",11,"All Students",85,11.8,70.6,17.6,0.0
103020753,"Allegheny",3,"AVONWORTH SD",11,"IEP",13,0.0,46.2,53.8,0.0
103020753,"Allegheny",3,"AVONWORTH SD",11,"Economically Disadvantaged",11,9.1,63.6,27.3,0.0
103020753,"Allegheny",3,"AVONWORTH SD",11,"Male",47,4.3,70.2,25.5,0.0
103020753,"Allegheny",3,"AVONWORTH SD",11,"Female",38,21.1,71.1,7.9,0.0
103020753,"Allegheny",3,"AVONWORTH SD",11,"White",82,12.2,72.0,15.9,0.0
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",5,"All Students",267,6.0,52.1,41.2,0.7
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",5,"IEP",32,3.1,31.3,62.5,3.1
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",5,"Economically Disadvantaged",83,0.0,36.1,62.7,1.2
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",5,"Male",129,2.3,50.4,45.7,1.6
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",5,"Female",138,9.4,53.6,37.0,0.0
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",5,"White",230,7.0,55.2,37.4,0.4
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",5,"Black",25,0.0,24.0,72.0,4.0
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"All Students",310,9.0,57.7,28.1,5.2
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"IEP",36,0.0,11.1,58.3,30.6
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"Economically Disadvantaged",73,8.2,34.2,46.6,11.0
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"Male",166,7.2,53.0,31.9,7.8
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"Female",144,11.1,63.2,23.6,2.1
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"White",279,9.7,59.1,26.2,5.0
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"Black",22,4.5,40.9,45.5,9.1
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"All Students",369,24.4,67.8,7.3,0.5
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"IEP",36,0.0,66.7,27.8,5.6
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"Economically Disadvantaged",70,11.4,71.4,15.7,1.4
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"Male",180,18.3,72.2,8.3,1.1
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"Female",189,30.2,63.5,6.3,0.0
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"White",339,25.7,66.7,7.4,0.3
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"Black",22,0.0,86.4,9.1,4.5
103021252,"Allegheny",3,"BETHEL PARK SD",5,"All Students",323,11.5,68.4,19.5,0.6
103021252,"Allegheny",3,"BETHEL PARK SD",5,"IEP",62,1.6,48.4,46.8,3.2
103021252,"Allegheny",3,"BETHEL PARK SD",5,"Economically Disadvantaged",38,5.3,63.2,31.6,0.0
103021252,"Allegheny",3,"BETHEL PARK SD",5,"Male",171,5.8,62.6,30.4,1.2
103021252,"Allegheny",3,"BETHEL PARK SD",5,"Female",152,17.8,75.0,7.2,0.0
103021252,"Allegheny",3,"BETHEL PARK SD",5,"White",305,11.5,69.2,18.7,0.7
103021252,"Allegheny",3,"BETHEL PARK SD",8,"All Students",396,28.3,62.9,8.3,0.5
103021252,"Allegheny",3,"BETHEL PARK SD",8,"IEP",51,7.8,56.9,31.4,3.9
103021252,"Allegheny",3,"BETHEL PARK SD",8,"Economically Disadvantaged",42,14.3,78.6,4.8,2.4
103021252,"Allegheny",3,"BETHEL PARK SD",8,"Male",206,19.9,67.0,12.6,0.5
103021252,"Allegheny",3,"BETHEL PARK SD",8,"Female",190,37.4,58.4,3.7,0.5
103021252,"Allegheny",3,"BETHEL PARK SD",8,"White",379,28.0,63.9,7.7,0.5
103021252,"Allegheny",3,"BETHEL PARK SD",8,"Black",10,20.0,40.0,40.0,0.0
103021252,"Allegheny",3,"BETHEL PARK SD",11,"All Students",437,36.4,61.1,2.3,0.2
103021252,"Allegheny",3,"BETHEL PARK SD",11,"IEP",32,6.3,78.1,12.5,3.1
103021252,"Allegheny",3,"BETHEL PARK SD",11,"Economically Disadvantaged",19,5.3,84.2,10.5,0.0
103021252,"Allegheny",3,"BETHEL PARK SD",11,"Male",225,30.7,66.7,2.2,0.4
103021252,"Allegheny",3,"BETHEL PARK SD",11,"Female",212,42.5,55.2,2.4,0.0
103021252,"Allegheny",3,"BETHEL PARK SD",11,"White",420,37.1,60.2,2.4,0.2
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",5,"All Students",82,11.0,72.0,17.1,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",5,"Economically Disadvantaged",35,5.7,65.7,28.6,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",5,"Male",40,7.5,70.0,22.5,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",5,"Female",42,14.3,73.8,11.9,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",5,"White",76,11.8,69.7,18.4,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",8,"All Students",103,17.5,73.8,6.8,1.9
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",8,"IEP",12,0.0,33.3,50.0,16.7
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",8,"Economically Disadvantaged",36,11.1,77.8,8.3,2.8
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",8,"Male",52,13.5,73.1,9.6,3.8
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",8,"Female",51,21.6,74.5,3.9,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",8,"White",99,17.2,73.7,7.1,2.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",11,"All Students",110,40.9,51.8,7.3,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",11,"IEP",15,6.7,66.7,26.7,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",11,"Economically Disadvantaged",33,42.4,48.5,9.1,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",11,"Male",63,34.9,55.6,9.5,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",11,"Female",47,48.9,46.8,4.3,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",11,"White",104,40.4,51.9,7.7,0.0
103021603,"Allegheny",3,"CARLYNTON SD",5,"All Students",111,3.6,51.4,43.2,1.8
103021603,"Allegheny",3,"CARLYNTON SD",5,"IEP",19,0.0,15.8,73.7,10.5
103021603,"Allegheny",3,"CARLYNTON SD",5,"Economically Disadvantaged",56,0.0,42.9,53.6,3.6
103021603,"Allegheny",3,"CARLYNTON SD",5,"Male",59,1.7,45.8,49.2,3.4
103021603,"Allegheny",3,"CARLYNTON SD",5,"Female",52,5.8,57.7,36.5,0.0
103021603,"Allegheny",3,"CARLYNTON SD",5,"White",93,4.3,52.7,40.9,2.2
103021603,"Allegheny",3,"CARLYNTON SD",5,"Black",16,0.0,43.8,56.3,0.0
103021603,"Allegheny",3,"CARLYNTON SD",8,"All Students",88,9.1,64.8,18.2,8.0
103021603,"Allegheny",3,"CARLYNTON SD",8,"Economically Disadvantaged",34,0.0,50.0,38.2,11.8
103021603,"Allegheny",3,"CARLYNTON SD",8,"Male",48,8.3,62.5,20.8,8.3
103021603,"Allegheny",3,"CARLYNTON SD",8,"Female",39,10.3,69.2,15.4,5.1
103021603,"Allegheny",3,"CARLYNTON SD",8,"White",66,10.6,69.7,16.7,3.0
103021603,"Allegheny",3,"CARLYNTON SD",8,"Black",18,5.6,50.0,27.8,16.7
103021603,"Allegheny",3,"CARLYNTON SD",11,"All Students",119,24.4,65.5,9.2,0.8
103021603,"Allegheny",3,"CARLYNTON SD",11,"IEP",18,5.6,66.7,27.8,0.0
103021603,"Allegheny",3,"CARLYNTON SD",11,"Economically Disadvantaged",19,10.5,73.7,15.8,0.0
103021603,"Allegheny",3,"CARLYNTON SD",11,"Male",60,21.7,61.7,15.0,1.7
103021603,"Allegheny",3,"CARLYNTON SD",11,"Female",55,29.1,69.1,1.8,0.0
103021603,"Allegheny",3,"CARLYNTON SD",11,"White",104,26.0,66.3,7.7,0.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",5,"All Students",234,3.4,62.0,34.6,0.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",5,"IEP",31,3.2,25.8,71.0,0.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",5,"Economically Disadvantaged",61,0.0,52.5,47.5,0.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",5,"Male",125,0.8,57.6,41.6,0.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",5,"Female",109,6.4,67.0,26.6,0.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",5,"White",208,2.9,63.0,34.1,0.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",5,"Multi-Ethnic",10,10.0,50.0,40.0,0.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"All Students",267,34.8,48.7,13.9,2.6
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"IEP",29,10.3,17.2,51.7,20.7
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"Economically Disadvantaged",57,15.8,49.1,31.6,3.5
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"Male",123,26.0,48.8,19.5,5.7
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"Female",144,42.4,48.6,9.0,0.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"White",241,34.0,49.4,14.1,2.5
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"Black",11,36.4,36.4,27.3,0.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"All Students",280,16.4,73.9,9.3,0.4
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"IEP",24,0.0,54.2,41.7,4.2
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"Economically Disadvantaged",42,9.5,69.0,19.0,2.4
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"Male",137,11.7,73.7,13.9,0.7
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"Female",143,21.0,74.1,4.9,0.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"White",260,17.3,73.8,8.5,0.4
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"Black",11,0.0,63.6,36.4,0.0
103021903,"Allegheny",3,"CLAIRTON CITY SD",5,"All Students",53,0.0,7.5,86.8,5.7
103021903,"Allegheny",3,"CLAIRTON CITY SD",5,"IEP",12,0.0,0.0,75.0,25.0
103021903,"Allegheny",3,"CLAIRTON CITY SD",5,"Economically Disadvantaged",46,0.0,6.5,87.0,6.5
103021903,"Allegheny",3,"CLAIRTON CITY SD",5,"Male",33,0.0,9.1,81.8,9.1
