"The 2009 PSSA Science District Level Proficiency Results",,,,,,,,,,
"(Full Academic Year; No PASA Scores) Subgroups with less than 10 students assessed were removed from the file. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,
,,,,,,,,,,
"AUN","County","IU Number","District","Grade","Group","Number Scored Science","% Advanced Science","% Proficient Science","% Basic Science","% Below Basic Science"
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Economically Disadvantaged",82,25.6,47.6,23.2,3.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Male",137,42.3,48.2,8.0,1.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Female",144,42.4,40.3,11.8,5.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"White",230,47.4,42.6,7.0,3.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Hispanic",44,20.5,47.7,25.0,6.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"All Students",309,27.5,36.2,17.2,19.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"IEP",42,2.4,16.7,14.3,66.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Economically Disadvantaged",76,13.2,32.9,21.1,32.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Male",139,33.8,34.5,15.1,16.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Female",170,22.4,37.6,18.8,21.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"White",273,30.0,37.0,15.8,17.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Hispanic",25,4.0,36.0,36.0,24.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"All Students",306,15.7,19,44.4,20.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"IEP",41,2.4,0,29.3,68.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Economically Disadvantaged",55,7.3,20,43.6,29.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Male",158,17.7,19,43.7,19.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Female",148,13.5,18.9,45.3,22.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"White",266,16.2,19.2,46.2,18.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Hispanic",32,6.3,18.8,31.3,43.8
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"All Students",81,40.7,40.7,12.3,6.2
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Economically Disadvantaged",15,20.0,46.7,20.0,13.3
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Male",44,40.9,38.6,11.4,9.1
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Female",37,40.5,43.2,13.5,2.7
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"White",77,41.6,40.3,11.7,6.5
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"All Students",101,23.8,35.6,22.8,17.8
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"IEP",10,20.0,0.0,30.0,50.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Economically Disadvantaged",17,17.6,17.6,29.4,35.3
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Male",43,27.9,34.9,25.6,11.6
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Female",57,21.1,36.8,19.3,22.8
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"White",97,23.7,37.1,20.6,18.6
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"All Students",91,14.3,16.5,56,13.2
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"IEP",12,8.3,0,25,66.7
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Economically Disadvantaged",10,10,10,50,30
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Male",42,19,21.4,47.6,11.9
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Female",48,10.4,12.5,62.5,14.6
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"White",87,14.9,17.2,55.2,12.6
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"All Students",202,43.1,47.5,7.9,1.5
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"IEP",26,19.2,34.6,34.6,11.5
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Economically Disadvantaged",67,25.4,59.7,11.9,3.0
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Male",101,46.5,43.6,7.9,2.0
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Female",101,39.6,51.5,7.9,1.0
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"White",168,47.0,44.6,7.7,0.6
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Black",10,20.0,50.0,20.0,10.0
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Hispanic",20,20.0,70.0,5.0,5.0
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"All Students",228,22.4,36.0,21.9,19.7
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"IEP",23,0.0,4.3,21.7,73.9
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Economically Disadvantaged",81,8.6,34.6,27.2,29.6
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Male",107,22.4,37.4,22.4,17.8
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Female",121,22.3,34.7,21.5,21.5
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"White",186,24.2,38.2,22.0,15.6
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Black",17,5.9,11.8,23.5,58.8
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Hispanic",20,10.0,40.0,20.0,30.0
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"All Students",247,15.8,29.6,39.3,15.4
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"IEP",33,0,12.1,24.2,63.6
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Economically Disadvantaged",56,5.4,12.5,53.6,28.6
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Male",128,17.2,32,35.9,14.8
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Female",119,14.3,26.9,42.9,16
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"White",215,17.2,33.5,37.2,12.1
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Black",13,0,7.7,46.2,46.2
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Hispanic",15,0,0,60,40
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"All Students",171,33.9,52.6,9.4,4.1
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"IEP",24,20.8,54.2,12.5,12.5
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Economically Disadvantaged",40,20.0,60.0,15.0,5.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Male",82,35.4,48.8,9.8,6.1
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Female",89,32.6,56.2,9.0,2.2
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"White",159,34.0,54.1,8.8,3.1
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"All Students",175,21.1,43.4,19.4,16.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"IEP",17,0.0,5.9,11.8,82.4
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Economically Disadvantaged",46,19.6,30.4,23.9,26.1
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Male",93,24.7,43.0,19.4,12.9
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Female",82,17.1,43.9,19.5,19.5
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"White",164,20.7,43.3,18.9,17.1
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"All Students",179,18.4,30.7,40.2,10.6
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"IEP",27,0,11.1,55.6,33.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Economically Disadvantaged",36,8.3,27.8,38.9,25
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Male",92,19.6,32.6,38,9.8
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Female",87,17.2,28.7,42.5,11.5
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"White",171,18.7,30.4,40.4,10.5
112018523,"Adams",12,"UPPER ADAMS SD",4,"All Students",119,42.0,42.0,11.8,4.2
112018523,"Adams",12,"UPPER ADAMS SD",4,"IEP",21,14.3,38.1,28.6,19.0
112018523,"Adams",12,"UPPER ADAMS SD",4,"Economically Disadvantaged",51,27.5,51.0,15.7,5.9
112018523,"Adams",12,"UPPER ADAMS SD",4,"Male",64,43.8,39.1,12.5,4.7
112018523,"Adams",12,"UPPER ADAMS SD",4,"Female",55,40.0,45.5,10.9,3.6
112018523,"Adams",12,"UPPER ADAMS SD",4,"White",95,48.4,36.8,11.6,3.2
112018523,"Adams",12,"UPPER ADAMS SD",4,"Hispanic",20,20.0,55.0,15.0,10.0
112018523,"Adams",12,"UPPER ADAMS SD",8,"All Students",128,21.1,44.5,18.0,16.4
112018523,"Adams",12,"UPPER ADAMS SD",8,"IEP",20,0.0,30.0,25.0,45.0
112018523,"Adams",12,"UPPER ADAMS SD",8,"Economically Disadvantaged",51,11.8,33.3,23.5,31.4
112018523,"Adams",12,"UPPER ADAMS SD",8,"Male",62,21.0,43.5,21.0,14.5
112018523,"Adams",12,"UPPER ADAMS SD",8,"Female",66,21.2,45.5,15.2,18.2
112018523,"Adams",12,"UPPER ADAMS SD",8,"White",100,23.0,51.0,16.0,10.0
112018523,"Adams",12,"UPPER ADAMS SD",8,"Hispanic",23,8.7,21.7,26.1,43.5
112018523,"Adams",12,"UPPER ADAMS SD",11,"All Students",138,13.8,27.5,43.5,15.2
112018523,"Adams",12,"UPPER ADAMS SD",11,"IEP",21,0,0,38.1,61.9
112018523,"Adams",12,"UPPER ADAMS SD",11,"Economically Disadvantaged",43,2.3,25.6,41.9,30.2
112018523,"Adams",12,"UPPER ADAMS SD",11,"Male",74,16.2,27,37.8,18.9
112018523,"Adams",12,"UPPER ADAMS SD",11,"Female",64,10.9,28.1,50,10.9
112018523,"Adams",12,"UPPER ADAMS SD",11,"White",109,17.4,29.4,45,8.3
112018523,"Adams",12,"UPPER ADAMS SD",11,"Hispanic",24,0,25,33.3,41.7
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"All Students",79,51.9,38.0,10.1,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"IEP",11,9.1,54.5,36.4,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Economically Disadvantaged",22,18.2,63.6,18.2,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Male",43,53.5,37.2,9.3,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Female",36,50.0,38.9,11.1,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"White",75,53.3,38.7,8.0,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"All Students",98,20.4,38.8,14.3,26.5
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Economically Disadvantaged",36,8.3,36.1,13.9,41.7
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Male",50,26.0,42.0,14.0,18.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Female",48,14.6,35.4,14.6,35.4
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"White",98,20.4,38.8,14.3,26.5
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"All Students",108,16.7,17.6,49.1,16.7
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"IEP",15,6.7,0,20,73.3
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Economically Disadvantaged",26,3.8,15.4,46.2,34.6
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Male",41,22,19.5,43.9,14.6
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Female",67,13.4,16.4,52.2,17.9
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"White",106,16,17.9,50,16
103020753,"Allegheny",3,"AVONWORTH SD",4,"All Students",118,55.1,39.8,4.2,0.8
103020753,"Allegheny",3,"AVONWORTH SD",4,"IEP",16,12.5,62.5,18.8,6.3
103020753,"Allegheny",3,"AVONWORTH SD",4,"Male",62,61.3,32.3,4.8,1.6
103020753,"Allegheny",3,"AVONWORTH SD",4,"Female",56,48.2,48.2,3.6,0.0
103020753,"Allegheny",3,"AVONWORTH SD",4,"White",112,57.1,38.4,3.6,0.9
103020753,"Allegheny",3,"AVONWORTH SD",8,"All Students",95,37.9,38.9,17.9,5.3
103020753,"Allegheny",3,"AVONWORTH SD",8,"IEP",13,7.7,46.2,23.1,23.1
103020753,"Allegheny",3,"AVONWORTH SD",8,"Male",52,46.2,38.5,9.6,5.8
103020753,"Allegheny",3,"AVONWORTH SD",8,"Female",43,27.9,39.5,27.9,4.7
103020753,"Allegheny",3,"AVONWORTH SD",8,"White",93,37.6,38.7,18.3,5.4
103020753,"Allegheny",3,"AVONWORTH SD",11,"All Students",84,15.5,29.8,44,10.7
103020753,"Allegheny",3,"AVONWORTH SD",11,"IEP",13,0,7.7,53.8,38.5
103020753,"Allegheny",3,"AVONWORTH SD",11,"Economically Disadvantaged",11,9.1,27.3,63.6,0
103020753,"Allegheny",3,"AVONWORTH SD",11,"Male",47,19.1,23.4,44.7,12.8
103020753,"Allegheny",3,"AVONWORTH SD",11,"Female",37,10.8,37.8,43.2,8.1
103020753,"Allegheny",3,"AVONWORTH SD",11,"White",82,15.9,29.3,43.9,11
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"All Students",267,37.5,49.8,8.2,4.5
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"IEP",34,29.4,47.1,14.7,8.8
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"Economically Disadvantaged",85,29.4,50.6,9.4,10.6
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"Male",145,42.1,44.1,7.6,6.2
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"Female",122,32.0,56.6,9.0,2.5
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"White",230,39.6,51.3,7.4,1.7
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"Black",18,22.2,33.3,22.2,22.2
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"Multi-Ethnic",11,36.4,63.6,0.0,0.0
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"All Students",308,17.9,37.7,22.1,22.4
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"IEP",36,2.8,5.6,11.1,80.6
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"Economically Disadvantaged",71,12.7,18.3,25.4,43.7
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"Male",164,20.7,34.1,19.5,25.6
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"Female",144,14.6,41.7,25.0,18.8
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"White",280,19.3,39.3,21.8,19.6
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",8,"Black",20,0.0,20.0,20.0,60.0
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"All Students",357,16.5,23.5,43.1,16.8
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"IEP",36,0,0,27.8,72.2
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"Economically Disadvantaged",61,3.3,11.5,49.2,36.1
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"Male",175,19.4,21.7,41.1,17.7
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"Female",181,13.8,25.4,45.3,15.5
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"White",327,17.1,25.4,42.2,15.3
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",11,"Black",21,0,0,61.9,38.1
103021252,"Allegheny",3,"BETHEL PARK SD",4,"All Students",320,47.5,45.9,5.3,1.3
103021252,"Allegheny",3,"BETHEL PARK SD",4,"IEP",62,32.3,50.0,16.1,1.6
103021252,"Allegheny",3,"BETHEL PARK SD",4,"Economically Disadvantaged",42,23.8,52.4,19.0,4.8
103021252,"Allegheny",3,"BETHEL PARK SD",4,"Male",166,50.6,42.8,6.0,0.6
103021252,"Allegheny",3,"BETHEL PARK SD",4,"Female",154,44.2,49.4,4.5,1.9
103021252,"Allegheny",3,"BETHEL PARK SD",4,"White",307,49.2,45.6,4.2,1.0
103021252,"Allegheny",3,"BETHEL PARK SD",8,"All Students",395,28.6,42.3,21.0,8.1
103021252,"Allegheny",3,"BETHEL PARK SD",8,"IEP",52,5.8,25.0,30.8,38.5
103021252,"Allegheny",3,"BETHEL PARK SD",8,"Economically Disadvantaged",41,22.0,43.9,22.0,12.2
103021252,"Allegheny",3,"BETHEL PARK SD",8,"Male",206,31.6,39.3,19.9,9.2
103021252,"Allegheny",3,"BETHEL PARK SD",8,"Female",189,25.4,45.5,22.2,6.9
103021252,"Allegheny",3,"BETHEL PARK SD",8,"White",379,29.0,42.7,20.3,7.9
103021252,"Allegheny",3,"BETHEL PARK SD",11,"All Students",442,33,33.9,28.3,4.8
103021252,"Allegheny",3,"BETHEL PARK SD",11,"IEP",35,5.7,11.4,48.6,34.3
103021252,"Allegheny",3,"BETHEL PARK SD",11,"Economically Disadvantaged",20,25,15,50,10
103021252,"Allegheny",3,"BETHEL PARK SD",11,"Male",229,34.1,33.2,28.4,4.4
103021252,"Allegheny",3,"BETHEL PARK SD",11,"Female",213,31.9,34.7,28.2,5.2
103021252,"Allegheny",3,"BETHEL PARK SD",11,"White",424,33,34.4,28.3,4.2
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",4,"All Students",74,58.1,32.4,9.5,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",4,"Economically Disadvantaged",30,50.0,30.0,20.0,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",4,"Male",37,45.9,43.2,10.8,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",4,"Female",37,70.3,21.6,8.1,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",4,"White",68,60.3,32.4,7.4,0.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",8,"All Students",104,14.4,30.8,32.7,22.1
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",8,"IEP",12,8.3,8.3,16.7,66.7
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",8,"Economically Disadvantaged",38,5.3,28.9,34.2,31.6
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",8,"Male",55,18.2,29.1,23.6,29.1
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",8,"Female",49,10.2,32.7,42.9,14.3
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",8,"White",100,14.0,30.0,34.0,22.0
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",11,"All Students",104,9.6,25,41.3,24
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",11,"IEP",13,0,7.7,23.1,69.2
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",11,"Economically Disadvantaged",31,3.2,16.1,45.2,35.5
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",11,"Male",63,9.5,25.4,38.1,27
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",11,"Female",41,9.8,24.4,46.3,19.5
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD",11,"White",98,9.2,24.5,40.8,25.5
103021603,"Allegheny",3,"CARLYNTON SD",4,"All Students",108,39.8,48.1,8.3,3.7
103021603,"Allegheny",3,"CARLYNTON SD",4,"IEP",17,11.8,52.9,23.5,11.8
103021603,"Allegheny",3,"CARLYNTON SD",4,"Economically Disadvantaged",46,17.4,56.5,17.4,8.7
103021603,"Allegheny",3,"CARLYNTON SD",4,"Male",53,41.5,47.2,9.4,1.9
103021603,"Allegheny",3,"CARLYNTON SD",4,"Female",55,38.2,49.1,7.3,5.5
103021603,"Allegheny",3,"CARLYNTON SD",4,"White",84,44.0,48.8,4.8,2.4
103021603,"Allegheny",3,"CARLYNTON SD",4,"Black",20,20.0,50.0,20.0,10.0
103021603,"Allegheny",3,"CARLYNTON SD",8,"All Students",89,13.5,36.0,27.0,23.6
103021603,"Allegheny",3,"CARLYNTON SD",8,"Economically Disadvantaged",34,14.7,20.6,29.4,35.3
103021603,"Allegheny",3,"CARLYNTON SD",8,"Male",47,17.0,38.3,21.3,23.4
103021603,"Allegheny",3,"CARLYNTON SD",8,"Female",42,9.5,33.3,33.3,23.8
103021603,"Allegheny",3,"CARLYNTON SD",8,"White",69,17.4,37.7,26.1,18.8
103021603,"Allegheny",3,"CARLYNTON SD",8,"Black",17,0.0,23.5,35.3,41.2
103021603,"Allegheny",3,"CARLYNTON SD",11,"All Students",115,24.3,14.8,43.5,17.4
103021603,"Allegheny",3,"CARLYNTON SD",11,"IEP",18,0,0,38.9,61.1
103021603,"Allegheny",3,"CARLYNTON SD",11,"Economically Disadvantaged",19,5.3,0,57.9,36.8
103021603,"Allegheny",3,"CARLYNTON SD",11,"Male",59,33.9,13.6,30.5,22
103021603,"Allegheny",3,"CARLYNTON SD",11,"Female",56,14.3,16.1,57.1,12.5
103021603,"Allegheny",3,"CARLYNTON SD",11,"White",106,24.5,16,42.5,17
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",4,"All Students",246,50.4,41.1,6.5,2.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",4,"IEP",26,26.9,46.2,19.2,7.7
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",4,"Economically Disadvantaged",60,33.3,53.3,8.3,5.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",4,"Male",136,50.0,37.5,10.3,2.2
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",4,"Female",110,50.9,45.5,1.8,1.8
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",4,"White",223,50.7,40.4,7.2,1.8
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",4,"Asian",11,54.5,36.4,0.0,9.1
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"All Students",267,27.7,32.6,24.7,15.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"IEP",28,7.1,7.1,21.4,64.3
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"Economically Disadvantaged",54,9.3,31.5,33.3,25.9
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"Male",125,32.8,28.8,18.4,20.0
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"Female",142,23.2,35.9,30.3,10.6
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"White",241,27.0,33.6,24.1,15.4
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",8,"Black",11,18.2,27.3,45.5,9.1
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"All Students",280,17.1,27.5,44.3,11.1
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"IEP",24,0,0,41.7,58.3
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"Economically Disadvantaged",39,5.1,25.6,56.4,12.8
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"Male",137,15.3,27.7,44.5,12.4
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"Female",143,18.9,27.3,44.1,9.8
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"White",258,18.2,29.8,42.2,9.7
103021752,"Allegheny",3,"CHARTIERS VALLEY SD",11,"Black",13,0,0,61.5,38.5
103021903,"Allegheny",3,"CLAIRTON CITY SD",4,"All Students",55,9.1,45.5,21.8,23.6
103021903,"Allegheny",3,"CLAIRTON CITY SD",4,"Economically Disadvantaged",48,8.3,41.7,25.0,25.0
103021903,"Allegheny",3,"CLAIRTON CITY SD",4,"Male",23,4.3,47.8,13.0,34.8
103021903,"Allegheny",3,"CLAIRTON CITY SD",4,"Female",32,12.5,43.8,28.1,15.6
103021903,"Allegheny",3,"CLAIRTON CITY SD",4,"Black",44,6.8,38.6,27.3,27.3
103021903,"Allegheny",3,"CLAIRTON CITY SD",8,"All Students",75,1.3,14.7,29.3,54.7
103021903,"Allegheny",3,"CLAIRTON CITY SD",8,"IEP",14,0.0,7.1,7.1,85.7
103021903,"Allegheny",3,"CLAIRTON CITY SD",8,"Economically Disadvantaged",70,1.4,10.0,31.4,57.1
103021903,"Allegheny",3,"CLAIRTON CITY SD",8,"Male",37,2.7,8.1,21.6,67.6
103021903,"Allegheny",3,"CLAIRTON CITY SD",8,"Female",38,0.0,21.1,36.8,42.1
