"The 2010 PSSA Science District Level Proficiency Results*",,,,,,,,,,
"*Full Academic Year Students; No PASA Scores. Data for groups with less than 10 students assessed were replaced by blanks. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,
"AUN","County","IU #","District","Grade","Group","Number Scored Science","% Advanced Science","% Proficient Science","% Basic Science","% Below Basic Science"
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Multi-ethnic",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"IEP",26,7.7,7.7,15.4,69.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"ELL",8,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Economically Disadvantaged",79,16.5,26.6,25.3,31.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"All Students",293,13.3,28.0,44.7,14.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Male",153,16.3,27.5,40.5,15.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Female",140,10,28.6,49.3,12.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"White",248,15.7,31.5,41.5,11.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Black",7,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Hispanic",34,0,8.8,64.7,26.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Asian",3,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Native American",1,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Multi-ethnic",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"IEP",27,0.0,0.0,44.4,55.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"ELL",6,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Economically Disadvantaged",78,9.0,14.1,52.6,24.4
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"All Students",89,52.8,37.1,5.6,4.5
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Male",43,55.8,37.2,0.0,7.0
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Female",46,50.0,37.0,10.9,2.2
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"White",86,52.3,37.2,5.8,4.7
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Black",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Hispanic",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Asian",3,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Native American",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Multi-ethnic",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"IEP",8,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"ELL",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Economically Disadvantaged",14,50,28.6,14.3,7.1
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"All Students",107,26.2,39.3,6.5,28
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Male",58,22.4,36.2,5.2,36.2
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Female",49,30.6,42.9,8.2,18.4
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"White",104,26.9,38.5,6.7,27.9
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Black",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Hispanic",2,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Asian",1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Native American",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Multi-ethnic",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"IEP",11,0,0,0,100
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"ELL",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Economically Disadvantaged",13,0,61.5,0,38.5
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"All Students",88,6.8,26.1,51.1,15.9
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Male",43,9.3,25.6,53.5,11.6
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Female",45,4.4,26.7,48.9,20
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"White",87,6.9,25.3,51.7,16.1
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Black",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Hispanic",1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Asian",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Native American",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Multi-ethnic",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"IEP",12,8.3,8.3,25.0,58.3
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"ELL",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Economically Disadvantaged",12,0.0,8.3,50.0,41.7
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"All Students",253,36.4,49.8,12.6,1.2
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Male",129,41.1,45.7,11.6,1.6
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Female",124,31.5,54.0,13.7,0.8
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"White",209,39.7,46.9,12.0,1.4
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Black",16,18.8,75.0,6.3,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Hispanic",22,9.1,63.6,27.3,0.0
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Asian",5,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Native American",1,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Multi-ethnic",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"IEP",40,22.5,45,27.5,5
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"ELL",14,0,71.4,28.6,0
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Economically Disadvantaged",97,14.4,69.1,15.5,1
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"All Students",220,30.9,36.4,14.1,18.6
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Male",114,33.3,36.8,10.5,19.3
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Female",106,28.3,35.8,17.9,17.9
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"White",183,34.4,39.9,13.7,12.0
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Black",10,30.0,20.0,10.0,40.0
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Hispanic",26,7.7,15.4,19.2,57.7
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Asian",1,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Native American",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Multi-ethnic",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"IEP",28,0,14.3,14.3,71.4
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"ELL",7,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Economically Disadvantaged",70,15.7,31.4,15.7,37.1
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"All Students",271,14.4,18.1,47.6,19.9
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Male",145,16.6,17.2,42.8,23.4
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Female",126,11.9,19,53.2,15.9
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"White",225,16.9,19.6,47.6,16
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Black",18,0,5.6,61.1,33.3
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Hispanic",23,4.3,13,39.1,43.5
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Asian",5,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Native American",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Multi-ethnic",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"IEP",31,0.0,3.2,32.3,64.5
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"ELL",6,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Economically Disadvantaged",81,1.2,11.1,53.1,34.6
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"All Students",138,34.8,54.3,8.7,2.2
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Male",74,37.8,50.0,9.5,2.7
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Female",64,31.3,59.4,7.8,1.6
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"White",125,36.8,52.8,8,2.4
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Black",7,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Hispanic",5,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Asian",1,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Native American",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Multi-ethnic",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"IEP",14,14.3,57.1,14.3,14.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"ELL",2,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Economically Disadvantaged",43,27.9,53.5,11.6,7
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"All Students",148,22.3,42.6,12.2,23
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Male",78,17.9,48.7,14.1,19.2
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Female",70,27.1,35.7,10,27.1
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"White",139,23.7,41.7,11.5,23
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Black",7,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Hispanic",2,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Asian",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Native American",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Multi-ethnic",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"IEP",12,8.3,0.0,8.3,83.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"ELL",1,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Economically Disadvantaged",42,16.7,28.6,19.0,35.7
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"All Students",169,14.8,24.3,46.7,14.2
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Male",90,18.9,24.4,40.0,16.7
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Female",79,10.1,24.1,54.4,11.4
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"White",159,15.7,25.2,45.9,13.2
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Black",5,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Hispanic",3,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Asian",2,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Native American",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Multi-ethnic",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"IEP",16,6.3,0,37.5,56.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"ELL",1,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Economically Disadvantaged",32,15.6,9.4,34.4,40.6
112018523,"Adams",12,"UPPER ADAMS SD",4,"All Students",114,48.2,40.4,11.4,0.0
112018523,"Adams",12,"UPPER ADAMS SD",4,"Male",65,50.8,35.4,13.8,0.0
112018523,"Adams",12,"UPPER ADAMS SD",4,"Female",48,45.8,47.9,6.3,0.0
112018523,"Adams",12,"UPPER ADAMS SD",4,"White",76,56.6,35.5,7.9,0.0
112018523,"Adams",12,"UPPER ADAMS SD",4,"Black",6,,,,
112018523,"Adams",12,"UPPER ADAMS SD",4,"Hispanic",31,38.7,41.9,19.4,0.0
112018523,"Adams",12,"UPPER ADAMS SD",4,"Asian",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",4,"Native American",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",4,"Multi-ethnic",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",4,"IEP",12,16.7,25.0,58.3,0.0
112018523,"Adams",12,"UPPER ADAMS SD",4,"ELL",10,30,30,40,0
112018523,"Adams",12,"UPPER ADAMS SD",4,"Economically Disadvantaged",63,28.6,54,17.5,0
112018523,"Adams",12,"UPPER ADAMS SD",8,"All Students",119,26.1,42,19.3,12.6
112018523,"Adams",12,"UPPER ADAMS SD",8,"Male",64,31.3,45.3,15.6,7.8
112018523,"Adams",12,"UPPER ADAMS SD",8,"Female",55,20,38.2,23.6,18.2
112018523,"Adams",12,"UPPER ADAMS SD",8,"White",86,33.7,45.3,12.8,8.1
112018523,"Adams",12,"UPPER ADAMS SD",8,"Black",3,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"Hispanic",28,0.0,35.7,39.3,25.0
112018523,"Adams",12,"UPPER ADAMS SD",8,"Asian",2,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"Native American",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"Multi-ethnic",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"IEP",13,0.0,30.8,30.8,38.5
112018523,"Adams",12,"UPPER ADAMS SD",8,"ELL",4,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"Economically Disadvantaged",55,10.9,41.8,30.9,16.4
112018523,"Adams",12,"UPPER ADAMS SD",11,"All Students",127,9.4,36.2,43.3,11.0
112018523,"Adams",12,"UPPER ADAMS SD",11,"Male",57,12.3,31.6,42.1,14.0
112018523,"Adams",12,"UPPER ADAMS SD",11,"Female",70,7.1,40.0,44.3,8.6
112018523,"Adams",12,"UPPER ADAMS SD",11,"White",108,11.1,38.9,43.5,6.5
112018523,"Adams",12,"UPPER ADAMS SD",11,"Black",3,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"Hispanic",15,0,26.7,40,33.3
112018523,"Adams",12,"UPPER ADAMS SD",11,"Asian",1,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"Native American",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"Multi-ethnic",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"IEP",17,0.0,5.9,35.3,58.8
112018523,"Adams",12,"UPPER ADAMS SD",11,"ELL",3,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"Economically Disadvantaged",34,0.0,29.4,44.1,26.5
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"All Students",79,63.3,26.6,6.3,3.8
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Male",45,64.4,24.4,4.4,6.7
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Female",34,61.8,29.4,8.8,0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"White",78,62.8,26.9,6.4,3.8
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Black",1,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Hispanic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Asian",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Native American",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Multi-ethnic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"IEP",15,40,26.7,13.3,20
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"ELL",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Economically Disadvantaged",25,44.0,40.0,8.0,8.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"All Students",85,28.2,34.1,18.8,18.8
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Male",44,25.0,34.1,15.9,25.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Female",41,31.7,34.1,22.0,12.2
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"White",82,29.3,35.4,19.5,15.9
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Black",2,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Hispanic",1,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Asian",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Native American",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Multi-ethnic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"IEP",9,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"ELL",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Economically Disadvantaged",33,21.2,21.2,27.3,30.3
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"All Students",88,13.6,28.4,50,8
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Male",46,19.6,26.1,50,4.3
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Female",42,7.1,31,50,11.9
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"White",86,14.0,29.1,50.0,7.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Black",2,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Hispanic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Asian",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Native American",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Multi-ethnic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"IEP",14,7.1,0.0,64.3,28.6
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"ELL",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Economically Disadvantaged",31,9.7,16.1,54.8,19.4
103020753,"Allegheny",3,"AVONWORTH SD",4,"All Students",104,59.6,33.7,3.8,2.9
103020753,"Allegheny",3,"AVONWORTH SD",4,"Male",53,71.7,22.6,3.8,1.9
103020753,"Allegheny",3,"AVONWORTH SD",4,"Female",51,47.1,45.1,3.9,3.9
103020753,"Allegheny",3,"AVONWORTH SD",4,"White",100,59,34,4,3
103020753,"Allegheny",3,"AVONWORTH SD",4,"Black",1,,,,
103020753,"Allegheny",3,"AVONWORTH SD",4,"Hispanic",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",4,"Asian",3,,,,
103020753,"Allegheny",3,"AVONWORTH SD",4,"Native American",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",4,"Multi-ethnic",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",4,"IEP",8,,,,
103020753,"Allegheny",3,"AVONWORTH SD",4,"ELL",1,,,,
103020753,"Allegheny",3,"AVONWORTH SD",4,"Economically Disadvantaged",7,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"All Students",119,44.5,31.1,13.4,10.9
103020753,"Allegheny",3,"AVONWORTH SD",8,"Male",61,45.9,36.1,9.8,8.2
103020753,"Allegheny",3,"AVONWORTH SD",8,"Female",58,43.1,25.9,17.2,13.8
103020753,"Allegheny",3,"AVONWORTH SD",8,"White",109,46.8,33.0,11.9,8.3
103020753,"Allegheny",3,"AVONWORTH SD",8,"Black",8,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Hispanic",1,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Asian",1,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Native American",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Multi-ethnic",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"IEP",11,18.2,18.2,27.3,36.4
103020753,"Allegheny",3,"AVONWORTH SD",8,"ELL",2,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Economically Disadvantaged",14,28.6,28.6,14.3,28.6
103020753,"Allegheny",3,"AVONWORTH SD",11,"All Students",90,18.9,25.6,47.8,7.8
103020753,"Allegheny",3,"AVONWORTH SD",11,"Male",42,14.3,19,59.5,7.1
103020753,"Allegheny",3,"AVONWORTH SD",11,"Female",48,22.9,31.3,37.5,8.3
103020753,"Allegheny",3,"AVONWORTH SD",11,"White",83,20.5,24.1,48.2,7.2
103020753,"Allegheny",3,"AVONWORTH SD",11,"Black",1,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Hispanic",4,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Asian",2,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Native American",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Multi-ethnic",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"IEP",10,0.0,10.0,60.0,30.0
103020753,"Allegheny",3,"AVONWORTH SD",11,"ELL",1,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Economically Disadvantaged",6,,,,
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"All Students",257,34.6,41.6,12.1,11.7
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"Male",129,35.7,38.8,10.9,14.7
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"Female",127,33.9,44.1,13.4,8.7
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"White",215,39.1,40.5,11.2,9.3
