"The 2010 PSSA Mathematics and Reading District Level Proficiency Results*",,,,,,,,,,,,,,,
"*Full Academic Year Students; No PASA/PSSA-M Scores. Data for groups with less than 10 students assessed were replaced by blanks. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,,,,,
"AUN","County","IU #","District","Grade","Group","Number Scored Math","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","Number Scored Reading","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Multi-ethnic",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"IEP",16,56.3,12.5,18.8,12.5,17,47.1,5.9,5.9,41.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"ELL",6,,,,,6,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Economically Disadvantaged",47,38.3,27.7,17.0,17.0,48,25.0,31.3,20.8,22.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"All Students",167,52.1,22.2,9.0,16.8,174,32.8,33.3,18.4,15.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Male",87,55.2,25.3,4.6,14.9,91,26.4,37.4,19.8,16.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Female",80,48.8,18.8,13.8,18.8,83,39.8,28.9,16.9,14.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"White",152,53.9,22.4,7.9,15.8,158,35.4,32.3,18.4,13.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Black",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Hispanic",14,35.7,14.3,21.4,28.6,15,6.7,46.7,20.0,26.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Asian",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Native American",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Multi-ethnic",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"IEP",14,28.6,35.7,14.3,21.4,21,14.3,14.3,9.5,61.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"ELL",4,,,,,5,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Economically Disadvantaged",43,32.6,23.3,14.0,30.2,48,14.6,31.3,29.2,25.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"All Students",153,59.5,24.8,9.8,5.9,154,44.8,36.4,11.7,7.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Male",84,61.9,26.2,7.1,4.8,86,44.2,34.9,9.3,11.6
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Female",69,56.5,23.2,13.0,7.2,68,45.6,38.2,14.7,1.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"White",140,59.3,24.3,10.0,6.4,141,45.4,36.2,12.1,6.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Black",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Hispanic",10,50.0,40.0,10.0,0.0,10,40.0,40.0,10.0,10.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Asian",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Native American",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Multi-ethnic",2,,,,,2,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"IEP",16,43.8,12.5,18.8,25.0,17,17.6,41.2,17.6,23.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"ELL",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Economically Disadvantaged",35,54.3,25.7,11.4,8.6,35,31.4,31.4,25.7,11.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"All Students",144,27.8,29.9,20.8,21.5,151,28.5,29.8,21.2,20.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Male",70,34.3,25.7,15.7,24.3,75,24.0,30.7,17.3,28.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Female",74,21.6,33.8,25.7,18.9,76,32.9,28.9,25.0,13.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"White",127,29.1,29.9,20.5,20.5,134,29.9,31.3,19.4,19.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Black",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Hispanic",11,9.1,36.4,9.1,45.5,11,9.1,27.3,36.4,27.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Asian",4,,,,,4,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Native American",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Multi-ethnic",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"IEP",14,42.9,7.1,7.1,42.9,21,9.5,23.8,9.5,57.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"ELL",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Economically Disadvantaged",33,24.2,27.3,27.3,21.2,33,18.2,39.4,15.2,27.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"All Students",281,41.6,46.6,9.3,2.5,281,25.6,53.4,10.7,10.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"Male",142,43.7,46.5,7.7,2.1,142,25.4,52.8,9.2,12.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"Female",139,39.6,46.8,10.8,2.9,139,25.9,54.0,12.2,7.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"White",235,43.0,46.0,8.5,2.6,235,25.5,56.6,9.8,8.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"Black",7,,,,,7,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"Hispanic",36,27.8,55.6,16.7,0.0,36,22.2,38.9,16.7,22.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"Asian",3,,,,,3,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"Native American",0,,,,,0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"Multi-ethnic",0,,,,,0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"IEP",30,13.3,53.3,20.0,13.3,30,6.7,26.7,30.0,36.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"ELL",8,,,,,8,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",3,"Economically Disadvantaged",113,31.9,47.8,15.0,5.3,113,17.7,46.9,16.8,18.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"All Students",284,56.3,29.6,7.4,6.7,293,30.7,36.9,18.4,14.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Male",139,54.7,27.3,9.4,8.6,142,26.1,34.5,23.2,16.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Female",142,57.7,31.7,5.6,4.9,148,35.8,39.2,13.5,11.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"White",240,60.8,27.1,6.3,5.8,248,33.9,37.1,16.1,12.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Black",8,,,,,8,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Hispanic",30,26.7,36.7,20.0,16.7,31,9.7,35.5,29.0,25.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Asian",3,,,,,3,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Native American",0,,,,,0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Multi-ethnic",0,,,,,0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"IEP",23,47.8,30.4,0.0,21.7,32,9.4,25.0,12.5,53.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"ELL",6,,,,,7,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Economically Disadvantaged",108,38.0,38.0,11.1,13.0,115,15.7,36.5,24.3,23.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"All Students",280,48.2,28.6,15.7,7.5,288,18.8,42.4,19.4,19.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Male",140,46.4,27.9,21.4,4.3,144,11.8,39.6,27.1,21.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Female",140,50.0,29.3,10.0,10.7,144,25.7,45.1,11.8,17.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"White",233,51.1,27.5,15.5,6.0,240,20.0,42.5,20.0,17.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Black",6,,,,,6,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Hispanic",39,35.9,28.2,17.9,17.9,40,15.0,37.5,17.5,30.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Asian",1,,,,,1,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Native American",0,,,,,0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Multi-ethnic",0,,,,,0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"IEP",21,33.3,38.1,14.3,14.3,29,3.4,20.7,13.8,62.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"ELL",8,,,,,8,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Economically Disadvantaged",98,35.7,32.7,19.4,12.2,103,9.7,40.8,24.3,25.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"All Students",270,68.5,22.6,7.0,1.9,284,39.1,33.1,16.2,11.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"Male",136,71.3,19.9,7.4,1.5,144,37.5,32.6,15.3,14.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"Female",133,66.2,24.8,6.8,2.3,139,41.0,33.8,16.5,8.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"White",224,71.9,21.9,4.9,1.3,236,40.7,34.7,14.4,10.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"Black",11,63.6,18.2,9.1,9.1,11,45.5,9.1,36.4,9.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"Hispanic",32,46.9,28.1,21.9,3.1,34,26.5,29.4,20.6,23.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"Asian",2,,,,,2,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"Native American",0,,,,,0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"Multi-ethnic",0,,,,,0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"IEP",25,56.0,24.0,12.0,8.0,39,2.6,23.1,23.1,51.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"ELL",5,,,,,6,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",6,"Economically Disadvantaged",98,57.1,29.6,10.2,3.1,106,25.5,35.8,21.7,17.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"All Students",290,64.8,23.4,6.2,5.5,295,34.2,38.0,18.6,9.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"Male",139,62.6,23.7,9.4,4.3,143,28.0,37.8,21.0,13.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"Female",151,66.9,23.2,3.3,6.6,152,40.1,38.2,16.4,5.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"White",260,66.2,22.7,5.8,5.4,264,35.2,37.5,18.6,8.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"Black",3,,,,,3,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"Hispanic",25,56.0,28.0,12.0,4.0,26,23.1,42.3,23.1,11.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"Asian",2,,,,,2,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"Native American",0,,,,,0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"Multi-ethnic",0,,,,,0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"IEP",38,21.1,26.3,26.3,26.3,43,0.0,18.6,32.6,48.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"ELL",5,,,,,5,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",7,"Economically Disadvantaged",99,56.6,29.3,4.0,10.1,102,22.5,46.1,18.6,12.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"All Students",266,67.3,22.2,7.5,3.0,273,52.7,30.8,11.0,5.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Male",118,69.5,21.2,5.9,3.4,121,44.6,33.9,14.9,6.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Female",148,65.5,23.0,8.8,2.7,152,59.2,28.3,7.9,4.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"White",238,70.2,21.4,5.9,2.5,244,54.9,29.9,11.1,4.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Black",4,,,,,4,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Hispanic",22,40.9,27.3,27.3,4.5,23,30.4,39.1,13.0,17.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Asian",2,,,,,2,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Native American",0,,,,,0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Multi-ethnic",0,,,,,0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"IEP",19,21.1,36.8,26.3,15.8,26,7.7,30.8,30.8,30.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"ELL",8,,,,,8,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Economically Disadvantaged",73,56.2,26.0,11.0,6.8,79,38.0,35.4,15.2,11.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"All Students",287,32.1,32.1,15.3,20.6,294,22.4,38.4,15.3,23.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Male",149,35.6,27.5,16.1,20.8,153,17.6,41.2,11.1,30.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Female",138,28.3,37.0,14.5,20.3,141,27.7,35.5,19.9,17.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"White",244,35.2,32.8,14.8,17.2,250,26.0,38.8,12.4,22.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Black",7,,,,,7,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Hispanic",33,15.2,27.3,21.2,36.4,34,0.0,38.2,32.4,29.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Asian",2,,,,,2,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Native American",1,,,,,1,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Multi-ethnic",0,,,,,0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"IEP",19,0.0,15.8,21.1,63.2,27,0.0,11.1,7.4,81.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"ELL",6,,,,,6,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Economically Disadvantaged",74,23.0,32.4,12.2,32.4,79,15.2,31.6,16.5,36.7
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"All Students",92,38.0,45.7,12.0,4.3,92,26.1,53.3,10.9,9.8
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"Male",42,31.0,45.2,16.7,7.1,42,16.7,50.0,19.0,14.3
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"Female",50,44.0,46.0,8.0,2.0,50,34.0,56.0,4.0,6.0
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"White",89,38.2,44.9,12.4,4.5,89,24.7,53.9,11.2,10.1
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"Black",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"Hispanic",1,,,,,1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"Asian",2,,,,,2,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"Native American",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"Multi-ethnic",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"IEP",6,,,,,6,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"ELL",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",3,"Economically Disadvantaged",20,10.0,55.0,20.0,15.0,20,10.0,60.0,10.0,20.0
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"All Students",88,55.7,37.5,5.7,1.1,88,50.0,28.4,12.5,9.1
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Male",42,59.5,38.1,2.4,0.0,42,52.4,31.0,7.1,9.5
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Female",46,52.2,37.0,8.7,2.2,46,47.8,26.1,17.4,8.7
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"White",85,55.3,37.6,5.9,1.2,85,49.4,29.4,11.8,9.4
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Black",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Hispanic",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Asian",3,,,,,3,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Native American",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Multi-ethnic",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"IEP",7,,,,,7,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"ELL",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Economically Disadvantaged",14,42.9,42.9,14.3,0.0,14,50.0,7.1,28.6,14.3
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"All Students",77,32.5,27.3,23.4,16.9,80,8.8,47.5,15.0,28.8
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Male",41,39.0,22.0,17.1,22.0,43,9.3,46.5,14.0,30.2
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Female",36,25.0,33.3,30.6,11.1,37,8.1,48.6,16.2,27.0
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"White",73,34.2,26.0,23.3,16.4,76,7.9,48.7,15.8,27.6
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Black",1,,,,,1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Hispanic",1,,,,,1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Asian",1,,,,,1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Native American",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Multi-ethnic",1,,,,,1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"IEP",4,,,,,7,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"ELL",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Economically Disadvantaged",13,23.1,23.1,30.8,23.1,13,0.0,38.5,15.4,46.2
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"All Students",89,40.4,28.1,21.3,10.1,93,34.4,26.9,16.1,22.6
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"Male",44,47.7,25.0,13.6,13.6,45,31.1,26.7,15.6,26.7
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"Female",45,33.3,31.1,28.9,6.7,47,38.3,27.7,17.0,17.0
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"White",89,40.4,28.1,21.3,10.1,92,34.8,27.2,16.3,21.7
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"Black",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"Hispanic",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"Asian",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"Native American",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"Multi-ethnic",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"IEP",3,,,,,6,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"ELL",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",6,"Economically Disadvantaged",12,16.7,33.3,41.7,8.3,14,21.4,7.1,21.4,50.0
112013054,"Adams",12,"FAIRFIELD AREA SD",7,"All Students",99,53.5,23.2,8.1,15.2,101,31.7,44.6,10.9,12.9
112013054,"Adams",12,"FAIRFIELD AREA SD",7,"Male",50,54.0,20.0,8.0,18.0,52,26.9,42.3,11.5,19.2
112013054,"Adams",12,"FAIRFIELD AREA SD",7,"Female",49,53.1,26.5,8.2,12.2,49,36.7,46.9,10.2,6.1
112013054,"Adams",12,"FAIRFIELD AREA SD",7,"White",94,54.3,22.3,8.5,14.9,96,32.3,43.8,11.5,12.5
112013054,"Adams",12,"FAIRFIELD AREA SD",7,"Black",3,,,,,3,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",7,"Hispanic",0,,,,,0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",7,"Asian",1,,,,,1,,,,
