"The 2011 PSSA Science District Level Proficiency Results*",,,,,,,,,,
"*Full Academic Year Students; No PASA/PSSA-M Scores. Data for groups with 10 or fewer students were replaced by blanks. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,
,,,,,,,,,,
"AUN","County","IU #","District","Grade","Group","Number Scored Science","% Advanced Science","% Proficient Science","% Basic Science","% Below Basic Science"
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Multi-Ethnic",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"IEP",29,27.6,48.3,17.2,6.9
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"ELL",16,0.0,37.5,56.3,6.3
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Economically Disadvantaged",83,28.9,45.8,21.7,3.6
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"All Students",211,27.0,41.7,19.4,11.8
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Male",105,32.4,38.1,19.0,10.5
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Female",106,21.7,45.3,19.8,13.2
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"White",175,30.3,42.9,18.3,8.6
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Black",18,5.6,22.2,33.3,38.9
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Hispanic",16,6.3,56.3,18.8,18.8
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Asian",2,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Native American",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Multi-Ethnic",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"IEP",18,5.6,11.1,22.2,61.1
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"ELL",1,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",8,"Economically Disadvantaged",73,12.3,38.4,31.5,17.8
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"All Students",214,10.3,23.8,48.1,17.8
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Male",102,8.8,16.7,53.9,20.6
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Female",112,11.6,30.4,42.9,15.2
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"White",178,11.2,25.8,48.9,14.0
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Black",11,9.1,0.0,54.5,36.4
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Hispanic",21,0.0,19.0,38.1,42.9
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Asian",4,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Native American",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Multi-Ethnic",0,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"IEP",15,0.0,0.0,40.0,60.0
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"ELL",4,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",11,"Economically Disadvantaged",64,6.3,18.8,42.2,32.8
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"All Students",148,33.8,49.3,12.2,4.7
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Male",80,33.8,52.5,7.5,6.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Female",68,33.8,45.6,17.6,2.9
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"White",144,34.0,48.6,12.5,4.9
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Black",1,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Hispanic",1,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Asian",1,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Native American",1,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Multi-Ethnic",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"IEP",18,22.2,22.2,27.8,27.8
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"ELL",1,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",4,"Economically Disadvantaged",48,22.9,54.2,16.7,6.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"All Students",162,29.0,41.4,18.5,11.1
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Male",96,28.1,43.8,20.8,7.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Female",66,30.3,37.9,15.2,16.7
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"White",150,30.0,40.0,19.3,10.7
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Black",5,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Hispanic",6,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Asian",1,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Native American",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Multi-Ethnic",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"IEP",11,0.0,18.2,36.4,45.5
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"ELL",1,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",8,"Economically Disadvantaged",41,17.1,36.6,29.3,17.1
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"All Students",160,10.6,26.3,50.0,13.1
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Male",80,17.5,23.8,47.5,11.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Female",80,3.8,28.8,52.5,15.0
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"White",150,11.3,25.3,50.0,13.3
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Black",5,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Hispanic",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Asian",5,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Native American",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Multi-Ethnic",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"IEP",13,15.4,0.0,38.5,46.2
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"ELL",0,,,,
112015203,"Adams",12,"LITTLESTOWN AREA SD",11,"Economically Disadvantaged",36,8.3,22.2,50.0,19.4
112018523,"Adams",12,"UPPER ADAMS SD",4,"All Students",120,49.2,40.8,8.3,1.7
112018523,"Adams",12,"UPPER ADAMS SD",4,"Male",66,51.5,39.4,6.1,3.0
112018523,"Adams",12,"UPPER ADAMS SD",4,"Female",54,46.3,42.6,11.1,0.0
112018523,"Adams",12,"UPPER ADAMS SD",4,"White",88,56.8,34.1,8.0,1.1
112018523,"Adams",12,"UPPER ADAMS SD",4,"Black",4,,,,
112018523,"Adams",12,"UPPER ADAMS SD",4,"Hispanic",28,25.0,64.3,7.1,3.6
112018523,"Adams",12,"UPPER ADAMS SD",4,"Asian",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",4,"Native American",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",4,"Multi-Ethnic",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",4,"IEP",15,33.3,40.0,20.0,6.7
112018523,"Adams",12,"UPPER ADAMS SD",4,"ELL",9,,,,
112018523,"Adams",12,"UPPER ADAMS SD",4,"Economically Disadvantaged",53,34.0,49.1,13.2,3.8
112018523,"Adams",12,"UPPER ADAMS SD",8,"All Students",115,27.0,34.8,28.7,9.6
112018523,"Adams",12,"UPPER ADAMS SD",8,"Male",53,30.2,30.2,34.0,5.7
112018523,"Adams",12,"UPPER ADAMS SD",8,"Female",62,24.2,38.7,24.2,12.9
112018523,"Adams",12,"UPPER ADAMS SD",8,"White",86,30.2,30.2,29.1,10.5
112018523,"Adams",12,"UPPER ADAMS SD",8,"Black",3,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"Hispanic",24,12.5,45.8,33.3,8.3
112018523,"Adams",12,"UPPER ADAMS SD",8,"Asian",2,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"Native American",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"Multi-Ethnic",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"IEP",11,9.1,18.2,45.5,27.3
112018523,"Adams",12,"UPPER ADAMS SD",8,"ELL",2,,,,
112018523,"Adams",12,"UPPER ADAMS SD",8,"Economically Disadvantaged",44,22.7,31.8,31.8,13.6
112018523,"Adams",12,"UPPER ADAMS SD",11,"All Students",116,16.4,39.7,39.7,4.3
112018523,"Adams",12,"UPPER ADAMS SD",11,"Male",54,16.7,38.9,38.9,5.6
112018523,"Adams",12,"UPPER ADAMS SD",11,"Female",62,16.1,40.3,40.3,3.2
112018523,"Adams",12,"UPPER ADAMS SD",11,"White",101,18.8,40.6,38.6,2.0
112018523,"Adams",12,"UPPER ADAMS SD",11,"Black",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"Hispanic",15,0.0,33.3,46.7,20.0
112018523,"Adams",12,"UPPER ADAMS SD",11,"Asian",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"Native American",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"Multi-Ethnic",0,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"IEP",1,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"ELL",1,,,,
112018523,"Adams",12,"UPPER ADAMS SD",11,"Economically Disadvantaged",33,0.0,33.3,57.6,9.1
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"All Students",65,66.2,27.7,6.2,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Male",22,68.2,27.3,4.5,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Female",43,65.1,27.9,7.0,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"White",65,66.2,27.7,6.2,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Black",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Hispanic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Asian",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Native American",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Multi-Ethnic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"IEP",13,46.2,30.8,23.1,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"ELL",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",4,"Economically Disadvantaged",28,50.0,35.7,14.3,0.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"All Students",65,26.2,41.5,16.9,15.4
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Male",30,40.0,36.7,10.0,13.3
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Female",35,14.3,45.7,22.9,17.1
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"White",64,25.0,42.2,17.2,15.6
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Black",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Hispanic",1,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Asian",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Native American",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Multi-Ethnic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"IEP",2,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"ELL",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",8,"Economically Disadvantaged",28,17.9,50.0,10.7,21.4
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"All Students",88,14.8,23.9,53.4,8.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Male",40,25.0,25.0,40.0,10.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Female",48,6.3,22.9,64.6,6.3
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"White",83,13.3,25.3,55.4,6.0
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Black",2,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Hispanic",3,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Asian",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Native American",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Multi-Ethnic",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"IEP",11,9.1,9.1,54.5,27.3
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"ELL",0,,,,
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD",11,"Economically Disadvantaged",27,11.1,11.1,63.0,14.8
103020753,"Allegheny",3,"AVONWORTH SD",4,"All Students",128,49.2,44.5,3.9,2.3
103020753,"Allegheny",3,"AVONWORTH SD",4,"Male",57,50.9,43.9,5.3,0.0
103020753,"Allegheny",3,"AVONWORTH SD",4,"Female",71,47.9,45.1,2.8,4.2
103020753,"Allegheny",3,"AVONWORTH SD",4,"White",116,48.3,45.7,3.4,2.6
103020753,"Allegheny",3,"AVONWORTH SD",4,"Black",4,,,,
103020753,"Allegheny",3,"AVONWORTH SD",4,"Hispanic",2,,,,
103020753,"Allegheny",3,"AVONWORTH SD",4,"Asian",5,,,,
103020753,"Allegheny",3,"AVONWORTH SD",4,"Native American",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",4,"Multi-Ethnic",1,,,,
103020753,"Allegheny",3,"AVONWORTH SD",4,"IEP",14,0.0,78.6,7.1,14.3
103020753,"Allegheny",3,"AVONWORTH SD",4,"ELL",1,,,,
103020753,"Allegheny",3,"AVONWORTH SD",4,"Economically Disadvantaged",9,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"All Students",80,33.8,43.8,11.3,11.3
103020753,"Allegheny",3,"AVONWORTH SD",8,"Male",42,38.1,38.1,11.9,11.9
103020753,"Allegheny",3,"AVONWORTH SD",8,"Female",38,28.9,50.0,10.5,10.5
103020753,"Allegheny",3,"AVONWORTH SD",8,"White",74,35.1,43.2,10.8,10.8
103020753,"Allegheny",3,"AVONWORTH SD",8,"Black",2,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Hispanic",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Asian",1,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Native American",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Multi-Ethnic",3,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"IEP",5,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"ELL",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",8,"Economically Disadvantaged",9,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"All Students",101,16.8,39.6,33.7,9.9
103020753,"Allegheny",3,"AVONWORTH SD",11,"Male",51,15.7,41.2,31.4,11.8
103020753,"Allegheny",3,"AVONWORTH SD",11,"Female",50,18.0,38.0,36.0,8.0
103020753,"Allegheny",3,"AVONWORTH SD",11,"White",99,17.2,40.4,33.3,9.1
103020753,"Allegheny",3,"AVONWORTH SD",11,"Black",2,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Hispanic",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Asian",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Native American",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Multi-Ethnic",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"IEP",16,0.0,12.5,43.8,43.8
103020753,"Allegheny",3,"AVONWORTH SD",11,"ELL",0,,,,
103020753,"Allegheny",3,"AVONWORTH SD",11,"Economically Disadvantaged",12,8.3,25.0,58.3,8.3
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"All Students",283,43.5,44.5,9.9,2.1
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD",4,"Male",136,52.9,33.1,10.3,3.7
